class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.19227273762226105,0.048052835345023914,211,4180
Amoxicillin-Clavulanic acid,0.8790324926376343,0.3467153284671533,2660,5012
Ampicillin,0.9471166729927063,0.6743156199677939,1675,809
Ampicillin-Amoxicillin,0.9830735921859741,0.8154411764705882,4436,1004
Aztreonam,0.826196014881134,0.6172248803827751,129,80
Benzylpenicillin,0.9584065675735474,0.5462962962962963,118,98
Cefazolin,0.8921667337417603,0.4110787172011662,846,1212
Cefepime,0.7480531930923462,0.19029850746268656,1479,6293
Cefpodoxime,0.8743492960929871,0.3452914798206278,462,876
Ceftazidime,0.3668188452720642,0.1262416471013184,699,4838
Ceftriaxone,0.7705172300338745,0.23497781959940853,1748,5691
Cefuroxime,0.8857212066650391,0.4072664359861592,1177,1713
Ciprofloxacin,0.6363367438316345,0.20209888564318945,1868,7375
Clarithromycin,0.5665287971496582,0.1826086956521739,63,282
Clindamycin,0.6766511797904968,0.3078534031413613,882,1983
Colistin,0.9710409045219421,0.15343347639484978,572,3156
Cotrimoxazole,0.6899908781051636,0.2285581826611034,1479,4992
Ertapenem,0.1411834955215454,0.02163023679417122,95,4297
Erythromycin,0.6976534724235535,0.3692722371967655,1096,1872
Fosfomycin,0.7493160367012024,0.1857318573185732,453,1986
Fosfomycin-Trometamol,0.5929494500160217,0.22340425531914893,273,949
Fusidic acid,0.6602440476417542,0.2922337870296237,730,1768
Gentamicin,0.6375265121459961,0.12832790653131584,670,4551
Imipenem,0.8755906224250793,0.19135410044500953,1505,6360
Levofloxacin,0.6444188952445984,0.19202330271118082,857,3606
Meropenem,0.8398109674453735,0.1577408433364112,1025,5473
Mupirocin,0.9694727659225464,0.09532710280373832,102,968
Nitrofurantoin,0.923323392868042,0.278125,267,693
Norfloxacin,0.34539559483528137,0.15558267236119586,255,1384
Oxacillin,0.8978744745254517,0.40154015401540155,1095,1632
Penicillin,0.9666880369186401,0.745928338762215,2519,858
Piperacillin-Tazobactam,0.7077344655990601,0.19708311822405783,1527,6221
Polymyxin B,1.0,0.19569120287253142,109,448
Rifampicin,0.26389172673225403,0.03971005357705641,126,3047
Teicoplanin,0.30317848920822144,0.021984216459977453,39,1735
Tetracycline,0.7563278079032898,0.2475212464589235,699,2125
Tobramycin,0.2649468779563904,0.09253246753246754,342,3354
Vancomycin,0.679132342338562,0.00904977375565611,38,4161
micro,0.7968406081199646,0.24274439918533605,,
macro,0.7047613831727129,NaN,,
