class,ROCAUC,n_positives,n_negatives
Amikacin,0.7714313268661499,211,4180
Amoxicillin-Clavulanic acid,0.9036780595779419,2660,5012
Ampicillin,0.8945696949958801,1675,809
Ampicillin-Amoxicillin,0.926449716091156,4436,1004
Aztreonam,0.7987403273582458,129,80
Benzylpenicillin,0.9501903057098389,118,98
Cefazolin,0.9207190275192261,846,1212
Cefepime,0.888864278793335,1479,6293
Cefpodoxime,0.8936749696731567,462,876
Ceftazidime,0.7874400615692139,699,4838
Ceftriaxone,0.8780021667480469,1748,5691
Cefuroxime,0.9082431793212891,1177,1713
Ciprofloxacin,0.8360855579376221,1868,7375
Clarithromycin,0.7150174975395203,63,282
Clindamycin,0.8009217977523804,882,1983
Colistin,0.9825701117515564,572,3156
Cotrimoxazole,0.8572169542312622,1479,4992
Ertapenem,0.8442879319190979,95,4297
Erythromycin,0.8036820292472839,1096,1872
Fosfomycin,0.8978256583213806,453,1986
Fosfomycin-Trometamol,0.7960644960403442,273,949
Fusidic acid,0.843666672706604,730,1768
Gentamicin,0.8957502841949463,670,4551
Imipenem,0.9602184295654297,1505,6360
Levofloxacin,0.838550865650177,857,3606
Meropenem,0.9574112296104431,1025,5473
Mupirocin,0.9826406240463257,102,968
Nitrofurantoin,0.9620658159255981,267,693
Norfloxacin,0.7214099168777466,255,1384
Oxacillin,0.9215389490127563,1095,1632
Penicillin,0.9117531180381775,2519,858
Piperacillin-Tazobactam,0.8564528226852417,1527,6221
Polymyxin B,1.0,109,448
Rifampicin,0.8938612937927246,126,3047
Teicoplanin,0.9382842183113098,39,1735
Tetracycline,0.8817847967147827,699,2125
Tobramycin,0.761931300163269,342,3354
Vancomycin,0.9933909773826599,38,4161
micro,0.8965824842453003,,
macro,0.8783259595695295,,
