class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.16495272517204285,0.048052835345023914,211,4180
Amoxicillin-Clavulanic acid,0.859085738658905,0.3467153284671533,2660,5012
Ampicillin,0.9292125701904297,0.6743156199677939,1675,809
Ampicillin-Amoxicillin,0.9757544994354248,0.8154411764705882,4436,1004
Aztreonam,0.8666131496429443,0.6172248803827751,129,80
Benzylpenicillin,0.9407198429107666,0.5462962962962963,118,98
Cefazolin,0.9031751155853271,0.4110787172011662,846,1212
Cefepime,0.7544748783111572,0.19029850746268656,1479,6293
Cefpodoxime,0.8772681951522827,0.3452914798206278,462,876
Ceftazidime,0.3638710677623749,0.1262416471013184,699,4838
Ceftriaxone,0.7575525641441345,0.23497781959940853,1748,5691
Cefuroxime,0.8754647970199585,0.4072664359861592,1177,1713
Ciprofloxacin,0.6626597046852112,0.20209888564318945,1868,7375
Clarithromycin,0.5209466814994812,0.1826086956521739,63,282
Clindamycin,0.680654764175415,0.3078534031413613,882,1983
Colistin,0.9629499316215515,0.15343347639484978,572,3156
Cotrimoxazole,0.6578325033187866,0.2285581826611034,1479,4992
Ertapenem,0.09154406189918518,0.02163023679417122,95,4297
Erythromycin,0.6966298818588257,0.3692722371967655,1096,1872
Fosfomycin,0.6631689667701721,0.1857318573185732,453,1986
Fosfomycin-Trometamol,0.5443187952041626,0.22340425531914893,273,949
Fusidic acid,0.6892719864845276,0.2922337870296237,730,1768
Gentamicin,0.6392634510993958,0.12832790653131584,670,4551
Imipenem,0.8685402870178223,0.19135410044500953,1505,6360
Levofloxacin,0.647689938545227,0.19202330271118082,857,3606
Meropenem,0.837289571762085,0.1577408433364112,1025,5473
Mupirocin,0.9606228470802307,0.09532710280373832,102,968
Nitrofurantoin,0.9264460802078247,0.278125,267,693
Norfloxacin,0.4537239074707031,0.15558267236119586,255,1384
Oxacillin,0.8964920043945312,0.40154015401540155,1095,1632
Penicillin,0.9580109715461731,0.745928338762215,2519,858
Piperacillin-Tazobactam,0.6953270435333252,0.19708311822405783,1527,6221
Polymyxin B,0.9961915612220764,0.19569120287253142,109,448
Rifampicin,0.21526999771595,0.03971005357705641,126,3047
Teicoplanin,0.24434128403663635,0.021984216459977453,39,1735
Tetracycline,0.7545223832130432,0.2475212464589235,699,2125
Tobramycin,0.27344799041748047,0.09253246753246754,342,3354
Vancomycin,0.4478009343147278,0.00904977375565611,38,4161
micro,0.8132405877113342,0.24274439918533605,,
macro,0.6908711230284289,NaN,,
