class,ROCAUC,n_positives,n_negatives
Amikacin,0.7425950765609741,211,4180
Amoxicillin-Clavulanic acid,0.8903653621673584,2660,5012
Ampicillin,0.8587665557861328,1675,809
Ampicillin-Amoxicillin,0.898773193359375,4436,1004
Aztreonam,0.8159399628639221,129,80
Benzylpenicillin,0.9311656951904297,118,98
Cefazolin,0.9222866296768188,846,1212
Cefepime,0.8830711841583252,1479,6293
Cefpodoxime,0.8958617448806763,462,876
Ceftazidime,0.7530161142349243,699,4838
Ceftriaxone,0.866387128829956,1748,5691
Cefuroxime,0.8954000473022461,1177,1713
Ciprofloxacin,0.8340068459510803,1868,7375
Clarithromycin,0.7199989557266235,63,282
Clindamycin,0.7942885756492615,882,1983
Colistin,0.97840416431427,572,3156
Cotrimoxazole,0.833156406879425,1479,4992
Ertapenem,0.7264260053634644,95,4297
Erythromycin,0.7898377180099487,1096,1872
Fosfomycin,0.8480228185653687,453,1986
Fosfomycin-Trometamol,0.7730926275253296,273,949
Fusidic acid,0.8253548741340637,730,1768
Gentamicin,0.8648194670677185,670,4551
Imipenem,0.9508158564567566,1505,6360
Levofloxacin,0.8388773798942566,857,3606
Meropenem,0.9490479230880737,1025,5473
Mupirocin,0.9804225564002991,102,968
Nitrofurantoin,0.9610903859138489,267,693
Norfloxacin,0.7585742473602295,255,1384
Oxacillin,0.9159848093986511,1095,1632
Penicillin,0.8869490027427673,2519,858
Piperacillin-Tazobactam,0.8458947539329529,1527,6221
Polymyxin B,0.9986484050750732,109,448
Rifampicin,0.8412203788757324,126,3047
Teicoplanin,0.9111062288284302,39,1735
Tetracycline,0.859851598739624,699,2125
Tobramycin,0.7542551755905151,342,3354
Vancomycin,0.9766314029693604,38,4161
micro,0.8934991359710693,,
macro,0.8623791384069543,,
