class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.2717302739620209,0.048052835345023914,211,4180
Amoxicillin-Clavulanic acid,0.8925236463546753,0.3467153284671533,2660,5012
Ampicillin,0.9332015514373779,0.6743156199677939,1675,809
Ampicillin-Amoxicillin,0.9855328798294067,0.8154411764705882,4436,1004
Aztreonam,0.9304977059364319,0.6172248803827751,129,80
Benzylpenicillin,0.9670997858047485,0.5462962962962963,118,98
Cefazolin,0.9290179014205933,0.4110787172011662,846,1212
Cefepime,0.8069369792938232,0.19029850746268656,1479,6293
Cefpodoxime,0.9285187125205994,0.3452914798206278,462,876
Ceftazidime,0.5012669563293457,0.1262416471013184,699,4838
Ceftriaxone,0.8183276653289795,0.23497781959940853,1748,5691
Cefuroxime,0.9063926339149475,0.4072664359861592,1177,1713
Ciprofloxacin,0.7391351461410522,0.20209888564318945,1868,7375
Clarithromycin,0.6609019637107849,0.1826086956521739,63,282
Clindamycin,0.7629385590553284,0.3078534031413613,882,1983
Colistin,0.9770156145095825,0.15343347639484978,572,3156
Cotrimoxazole,0.7697609663009644,0.2285581826611034,1479,4992
Ertapenem,0.21517445147037506,0.02163023679417122,95,4297
Erythromycin,0.7584636211395264,0.3692722371967655,1096,1872
Fosfomycin,0.7372593283653259,0.1857318573185732,453,1986
Fosfomycin-Trometamol,0.6306774020195007,0.22340425531914893,273,949
Fusidic acid,0.7892343997955322,0.2922337870296237,730,1768
Gentamicin,0.7115930318832397,0.12832790653131584,670,4551
Imipenem,0.8936908841133118,0.19135410044500953,1505,6360
Levofloxacin,0.7328385710716248,0.19202330271118082,857,3606
Meropenem,0.8672792315483093,0.1577408433364112,1025,5473
Mupirocin,0.9560869336128235,0.09532710280373832,102,968
Nitrofurantoin,0.9516958594322205,0.278125,267,693
Norfloxacin,0.5747148394584656,0.15558267236119586,255,1384
Oxacillin,0.9288365840911865,0.40154015401540155,1095,1632
Penicillin,0.962261974811554,0.745928338762215,2519,858
Piperacillin-Tazobactam,0.75604248046875,0.19708311822405783,1527,6221
Polymyxin B,0.9989916086196899,0.19569120287253142,109,448
Rifampicin,0.4929371178150177,0.03971005357705641,126,3047
Teicoplanin,0.504802405834198,0.021984216459977453,39,1735
Tetracycline,0.7951903343200684,0.2475212464589235,699,2125
Tobramycin,0.4152370095252991,0.09253246753246754,342,3354
Vancomycin,0.6579235196113586,0.00904977375565611,38,4161
micro,0.8628259897232056,0.24274439918533605,,
macro,0.7660981718646852,NaN,,
