class,ROCAUC,n_positives,n_negatives
Amikacin,0.8216002583503723,211,4180
Amoxicillin-Clavulanic acid,0.9142513871192932,2660,5012
Ampicillin,0.8797605037689209,1675,809
Ampicillin-Amoxicillin,0.9401463270187378,4436,1004
Aztreonam,0.9019864201545715,129,80
Benzylpenicillin,0.9603078365325928,118,98
Cefazolin,0.9428166747093201,846,1212
Cefepime,0.9052501320838928,1479,6293
Cefpodoxime,0.939275324344635,462,876
Ceftazidime,0.815335214138031,699,4838
Ceftriaxone,0.8985594511032104,1748,5691
Cefuroxime,0.9248334169387817,1177,1713
Ciprofloxacin,0.8777092695236206,1868,7375
Clarithromycin,0.8366543054580688,63,282
Clindamycin,0.8591108322143555,882,1983
Colistin,0.9877450466156006,572,3156
Cotrimoxazole,0.8915103673934937,1479,4992
Ertapenem,0.8228017091751099,95,4297
Erythromycin,0.8445529341697693,1096,1872
Fosfomycin,0.8882609009742737,453,1986
Fosfomycin-Trometamol,0.8220779895782471,273,949
Fusidic acid,0.8819857239723206,730,1768
Gentamicin,0.9023183584213257,670,4551
Imipenem,0.9573974609375,1505,6360
Levofloxacin,0.884181559085846,857,3606
Meropenem,0.9562175869941711,1025,5473
Mupirocin,0.971519947052002,102,968
Nitrofurantoin,0.9704644083976746,267,693
Norfloxacin,0.8193188309669495,255,1384
Oxacillin,0.9418091177940369,1095,1632
Penicillin,0.9121333360671997,2519,858
Piperacillin-Tazobactam,0.8694377541542053,1527,6221
Polymyxin B,0.9997542500495911,109,448
Rifampicin,0.9084787964820862,126,3047
Teicoplanin,0.8773220777511597,39,1735
Tetracycline,0.8840235471725464,699,2125
Tobramycin,0.8274382948875427,342,3354
Vancomycin,0.9789776802062988,38,4161
micro,0.9267127513885498,,
macro,0.9004559218883514,,
