class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.08435656875371933,0.03254437869822485,77,2289
Ampicillin,NaN,NaN,NaN,NaN
Ampicillin-Amoxicillin,0.97184157371521,0.8025494982370491,2959,728
Aztreonam,0.6853171586990356,0.7142857142857143,70,28
Cefazolin,0.8597612380981445,0.3736422881969587,516,865
Cefepime,0.733515202999115,0.20072239422084623,778,3098
Cefpodoxime,0.8925384879112244,0.34575569358178054,334,632
Ceftazidime,0.2927546799182892,0.1263782866836302,298,2060
Ceftriaxone,0.7337719798088074,0.24566391811202729,864,2653
Ciprofloxacin,0.6350464820861816,0.21083743842364533,856,3204
Clarithromycin,0.0906410664319992,0.11764705882352941,4,30
Clindamycin,0.5176123380661011,0.296248382923674,458,1088
Colistin,0.9689657688140869,0.15991902834008098,395,2075
Ertapenem,0.12016375362873077,0.014565544952285283,29,1962
Erythromycin,0.6380511522293091,0.3899931459904044,569,890
Fosfomycin,0.5934523344039917,0.5454545454545454,6,5
Fosfomycin-Trometamol,0.4457838535308838,0.20023419203747073,171,683
Fusidic acid,0.6450579166412354,0.2956104252400549,431,1027
Imipenem,0.8871055841445923,0.23389664462405094,955,3128
Mupirocin,0.010638297535479069,0.001697792869269949,1,588
Nitrofurantoin,0.7660297155380249,0.16666666666666666,53,265
Norfloxacin,0.27084600925445557,0.12203791469194313,103,741
Oxacillin,0.8330643177032471,0.374,561,939
Piperacillin-Tazobactam,0.6688022017478943,0.2143970893970894,825,3023
Polymyxin B,NaN,NaN,NaN,NaN
Tetracycline,0.6959073543548584,0.254249815225425,344,1009
Tobramycin,0.207570418715477,0.06381260096930533,158,2318
micro,0.8008812069892883,0.250620452665295,,
macro,0.5277257575825961,NaN,,
