class,ROCAUC,n_positives,n_negatives
Amikacin,0.69561368227005,77,2289
Ampicillin,NaN,NaN,NaN
Ampicillin-Amoxicillin,0.8963673114776611,2959,728
Aztreonam,0.49642854928970337,70,28
Cefazolin,0.8950967788696289,516,865
Cefepime,0.8549231886863708,778,3098
Cefpodoxime,0.8996390700340271,334,632
Ceftazidime,0.70667564868927,298,2060
Ceftriaxone,0.842273473739624,864,2653
Ciprofloxacin,0.8121821880340576,856,3204
Clarithromycin,0.3999999761581421,4,30
Clindamycin,0.7107048034667969,458,1088
Colistin,0.9799279570579529,395,2075
Ertapenem,0.7302541732788086,29,1962
Erythromycin,0.7254892587661743,569,890
Fosfomycin,0.6666666269302368,6,5
Fosfomycin-Trometamol,0.7274665236473083,171,683
Fusidic acid,0.7802510261535645,431,1027
Imipenem,0.9416760802268982,955,3128
Mupirocin,0.9217687249183655,1,588
Nitrofurantoin,0.938981831073761,53,265
Norfloxacin,0.7177259922027588,103,741
Oxacillin,0.8834340572357178,561,939
Piperacillin-Tazobactam,0.8083204627037048,825,3023
Polymyxin B,NaN,NaN,NaN
Tetracycline,0.8739944696426392,344,1009
Tobramycin,0.7573366761207581,158,2318
micro,0.8780769109725952,,
macro,0.7282666122471845,,
