class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
5-Fluorocytosine,0.5109228491783142,0.02197802197802198,2,89
Amikacin,0.12110531330108643,0.03254437869822485,77,2289
Aminoglycosides,NaN,NaN,NaN,NaN
Amoxicillin,0.5695254802703857,0.13513513513513514,5,32
Amoxicillin-Clavulanic acid,1.0,0.5714285714285714,4,3
Amphotericin B,NaN,NaN,NaN,NaN
Ampicillin,NaN,NaN,NaN,NaN
Ampicillin-Amoxicillin,0.9728087782859802,0.8025494982370491,2959,728
Ampicillin-Sulbactam,NaN,NaN,NaN,NaN
Anidulafungin,0.645508885383606,0.28888888888888886,26,64
Azithromycin,0.8660714626312256,0.5,4,4
Aztreonam,0.66534423828125,0.7142857142857143,70,28
Bacitracin,NaN,NaN,NaN,NaN
Caspofungin,0.13488386571407318,0.16304347826086957,15,77
Cefalotin-Cefazolin,NaN,NaN,NaN,NaN
Cefazolin,0.8370772004127502,0.3736422881969587,516,865
Cefepime,0.7139165997505188,0.20072239422084623,778,3098
Cefixime,1.0,0.4,2,3
Cefotaxime,NaN,NaN,NaN,NaN
Cefoxitin,NaN,NaN,NaN,NaN
Cefpodoxime,0.8923063278198242,0.34575569358178054,334,632
Ceftarolin,1.0,1.0,1,0
Ceftazidime,0.3203323781490326,0.1263782866836302,298,2060
Ceftazidime-Avibactam,0.2167353481054306,0.25,4,12
Ceftobiprole,0.9027777910232544,0.375,3,5
Ceftolozane-Tazobactam,0.36158835887908936,0.32142857142857145,9,19
Ceftriaxone,0.7223079204559326,0.24566391811202729,864,2653
Cefuroxime,NaN,NaN,NaN,NaN
Chloramphenicol,0.4515151381492615,0.2857142857142857,4,10
Ciprofloxacin,0.6042851209640503,0.21083743842364533,856,3204
Clarithromycin,0.08638673275709152,0.11764705882352941,4,30
Clindamycin,0.520378589630127,0.296248382923674,458,1088
Clindamycin_induced,NaN,NaN,NaN,NaN
Colistin,0.9697899222373962,0.15991902834008098,395,2075
Cotrimoxazole,NaN,NaN,NaN,NaN
Daptomycin,0.011418907903134823,0.00902061855670103,14,1538
Doxycycline,NaN,NaN,NaN,NaN
ESBL,NaN,NaN,NaN,NaN
Ertapenem,0.1444382220506668,0.014565544952285283,29,1962
Erythromycin,0.5917978286743164,0.3899931459904044,569,890
Ethambutol_5mg-l,NaN,NaN,NaN,NaN
Fluconazole,0.8756422996520996,0.45555555555555555,41,49
Fosfomycin,0.663095235824585,0.5454545454545454,6,5
Fosfomycin-Trometamol,0.47247034311294556,0.20023419203747073,171,683
Fusidic acid,0.6712939739227295,0.2956104252400549,431,1027
Gentamicin,0.524586021900177,0.15384615384615385,16,88
Imipenem,0.8679084777832031,0.23389664462405094,955,3128
Isavuconazole,NaN,NaN,NaN,NaN
Isoniazid_.1mg-l,NaN,NaN,NaN,NaN
Isoniazid_.4mg-l,NaN,NaN,NaN,NaN
Itraconazole,0.7482640743255615,0.41304347826086957,38,54
Levofloxacin,NaN,NaN,NaN,NaN
Linezolid,0.0025171893648803234,0.004098360655737705,7,1701
MRSA,NaN,NaN,NaN,NaN
Meropenem,NaN,NaN,NaN,NaN
Meropenem-Vaborbactam,NaN,NaN,NaN,NaN
Metronidazole,NaN,NaN,NaN,NaN
Micafungin,0.4365086853504181,0.23076923076923078,21,70
Minocycline,0.7684615254402161,0.29411764705882354,5,12
Moxifloxacin,0.1165059506893158,0.2,4,16
Mupirocin,0.0555555559694767,0.001697792869269949,1,588
Nitrofurantoin,0.789575457572937,0.16666666666666666,53,265
Norfloxacin,0.24601736664772034,0.12203791469194313,103,741
Novobiocin,NaN,NaN,NaN,NaN
Ofloxacin,NaN,NaN,NaN,NaN
Oxacillin,0.806647539138794,0.374,561,939
Pefloxacin,NaN,NaN,NaN,NaN
Penicillin,0.10556025803089142,0.17647058823529413,6,28
Piperacillin,NaN,NaN,NaN,NaN
Piperacillin-Tazobactam,0.6448557376861572,0.2143970893970894,825,3023
Polymyxin B,NaN,NaN,NaN,NaN
Posaconazole,0.34727048873901367,0.13333333333333333,8,52
Pristinamycin,NaN,NaN,NaN,NaN
Pyrazinamide,NaN,NaN,NaN,NaN
Quinolones,0.12469474971294403,0.1875,3,13
Quinupristin-Dalfopristin,NaN,NaN,NaN,NaN
Rifampicin,NaN,NaN,NaN,NaN
Sparfloxacin,NaN,NaN,NaN,NaN
Strepomycin_high_level,NaN,NaN,NaN,NaN
Streptomycin,NaN,NaN,NaN,NaN
Teicoplanin,NaN,NaN,NaN,NaN
Telithromycin,NaN,NaN,NaN,NaN
Tetracycline,0.6827088594436646,0.254249815225425,344,1009
Ticarcillin,NaN,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN,NaN
Tigecycline,0.17418932914733887,0.007584597432905484,13,1701
Tobramycin,0.22721897065639496,0.06381260096930533,158,2318
Vancomycin,NaN,NaN,NaN,NaN
Voriconazole,0.46434485912323,0.05714285714285714,4,66
micro,0.7861087918281555,0.22734804549220455,,
macro,0.2994282720139606,NaN,,
