class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,0.6235954761505127,2,89
Amikacin,0.7232785224914551,77,2289
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,0.8374999761581421,5,32
Amoxicillin-Clavulanic acid,1.0,4,3
Amphotericin B,NaN,NaN,NaN
Ampicillin,NaN,NaN,NaN
Ampicillin-Amoxicillin,0.8981297612190247,2959,728
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,0.784254789352417,26,64
Azithromycin,0.75,4,4
Aztreonam,0.47066324949264526,70,28
Bacitracin,NaN,NaN,NaN
Caspofungin,0.42683982849121094,15,77
Cefalotin-Cefazolin,NaN,NaN,NaN
Cefazolin,0.8741553425788879,516,865
Cefepime,0.8415037989616394,778,3098
Cefixime,1.0,2,3
Cefotaxime,NaN,NaN,NaN
Cefoxitin,NaN,NaN,NaN
Cefpodoxime,0.8949490785598755,334,632
Ceftarolin,0.0,1,0
Ceftazidime,0.7295057773590088,298,2060
Ceftazidime-Avibactam,0.4791666567325592,4,12
Ceftobiprole,0.9333333373069763,3,5
Ceftolozane-Tazobactam,0.511695921421051,9,19
Ceftriaxone,0.8336263298988342,864,2653
Cefuroxime,NaN,NaN,NaN
Chloramphenicol,0.5,4,10
Ciprofloxacin,0.8009998798370361,856,3204
Clarithromycin,0.34999996423721313,4,30
Clindamycin,0.7156283855438232,458,1088
Clindamycin_induced,NaN,NaN,NaN
Colistin,0.9799707531929016,395,2075
Cotrimoxazole,NaN,NaN,NaN
Daptomycin,0.5781627297401428,14,1538
Doxycycline,NaN,NaN,NaN
ESBL,NaN,NaN,NaN
Ertapenem,0.8308025598526001,29,1962
Erythromycin,0.6932623982429504,569,890
Ethambutol_5mg-l,NaN,NaN,NaN
Fluconazole,0.8327525854110718,41,49
Fosfomycin,0.800000011920929,6,5
Fosfomycin-Trometamol,0.7356562614440918,171,683
Fusidic acid,0.7839900255203247,431,1027
Gentamicin,0.6995738744735718,16,88
Imipenem,0.9313575625419617,955,3128
Isavuconazole,NaN,NaN,NaN
Isoniazid_.1mg-l,NaN,NaN,NaN
Isoniazid_.4mg-l,NaN,NaN,NaN
Itraconazole,0.764132559299469,38,54
Levofloxacin,NaN,NaN,NaN
Linezolid,0.20441757142543793,7,1701
MRSA,NaN,NaN,NaN
Meropenem,NaN,NaN,NaN
Meropenem-Vaborbactam,NaN,NaN,NaN
Metronidazole,NaN,NaN,NaN
Micafungin,0.49251702427864075,21,70
Minocycline,0.8333333134651184,5,12
Moxifloxacin,0.15625,4,16
Mupirocin,0.9863945841789246,1,588
Nitrofurantoin,0.9709504842758179,53,265
Norfloxacin,0.6813279390335083,103,741
Novobiocin,NaN,NaN,NaN
Ofloxacin,NaN,NaN,NaN
Oxacillin,0.8587196469306946,561,939
Pefloxacin,NaN,NaN,NaN
Penicillin,0.1726190596818924,6,28
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.7973009347915649,825,3023
Polymyxin B,NaN,NaN,NaN
Posaconazole,0.7067307233810425,8,52
Pristinamycin,NaN,NaN,NaN
Pyrazinamide,NaN,NaN,NaN
Quinolones,0.2820512652397156,3,13
Quinupristin-Dalfopristin,NaN,NaN,NaN
Rifampicin,NaN,NaN,NaN
Sparfloxacin,NaN,NaN,NaN
Strepomycin_high_level,NaN,NaN,NaN
Streptomycin,NaN,NaN,NaN
Teicoplanin,NaN,NaN,NaN
Telithromycin,NaN,NaN,NaN
Tetracycline,0.8562875986099243,344,1009
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,0.7037489414215088,13,1701
Tobramycin,0.7712180018424988,158,2318
Vancomycin,NaN,NaN,NaN
Voriconazole,0.7689393162727356,4,66
micro,0.8783422112464905,,
macro,0.3915875708119253,,
