class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.20571453869342804,0.048052835345023914,211,4180
Amoxicillin-Clavulanic acid,0.8697402477264404,0.3467153284671533,2660,5012
Ampicillin,0.9289431571960449,0.6743156199677939,1675,809
Ampicillin-Amoxicillin,0.9830629229545593,0.8154411764705882,4436,1004
Aztreonam,0.9442561268806458,0.6172248803827751,129,80
Benzylpenicillin,0.9624001383781433,0.5462962962962963,118,98
Cefazolin,0.9015548229217529,0.4110787172011662,846,1212
Cefepime,0.7678683996200562,0.19029850746268656,1479,6293
Cefpodoxime,0.9049080014228821,0.3452914798206278,462,876
Ceftazidime,0.46650660037994385,0.1262416471013184,699,4838
Ceftriaxone,0.7893258929252625,0.23497781959940853,1748,5691
Cefuroxime,0.881251871585846,0.4072664359861592,1177,1713
Ciprofloxacin,0.6903790831565857,0.20209888564318945,1868,7375
Clarithromycin,0.5514995455741882,0.1826086956521739,63,282
Clindamycin,0.7067772150039673,0.3078534031413613,882,1983
Colistin,0.9705725312232971,0.15343347639484978,572,3156
Cotrimoxazole,0.7419299483299255,0.2285581826611034,1479,4992
Ertapenem,0.16611355543136597,0.02163023679417122,95,4297
Erythromycin,0.7221618890762329,0.3692722371967655,1096,1872
Fosfomycin,0.7299494743347168,0.1857318573185732,453,1986
Fosfomycin-Trometamol,0.6268975138664246,0.22340425531914893,273,949
Fusidic acid,0.7154343128204346,0.2922337870296237,730,1768
Gentamicin,0.6790415048599243,0.12832790653131584,670,4551
Imipenem,0.8690159320831299,0.19135410044500953,1505,6360
Levofloxacin,0.6960710287094116,0.19202330271118082,857,3606
Meropenem,0.8350310325622559,0.1577408433364112,1025,5473
Mupirocin,0.967825174331665,0.09532710280373832,102,968
Nitrofurantoin,0.9399887323379517,0.278125,267,693
Norfloxacin,0.5211485028266907,0.15558267236119586,255,1384
Oxacillin,0.9093887805938721,0.40154015401540155,1095,1632
Penicillin,0.9639412760734558,0.745928338762215,2519,858
Piperacillin-Tazobactam,0.7147687673568726,0.19708311822405783,1527,6221
Polymyxin B,0.998401403427124,0.19569120287253142,109,448
Rifampicin,0.24297581613063812,0.03971005357705641,126,3047
Teicoplanin,0.36829614639282227,0.021984216459977453,39,1735
Tetracycline,0.7803901433944702,0.2475212464589235,699,2125
Tobramycin,0.33163535594940186,0.09253246753246754,342,3354
Vancomycin,0.5705639719963074,0.00904977375565611,38,4161
micro,0.841630220413208,0.24274439918533605,,
macro,0.7267297725928458,NaN,,
