class,ROCAUC,n_positives,n_negatives
Amikacin,0.8009132742881775,211,4180
Amoxicillin-Clavulanic acid,0.9069481492042542,2660,5012
Ampicillin,0.8684120774269104,1675,809
Ampicillin-Amoxicillin,0.9326342344284058,4436,1004
Aztreonam,0.9025194048881531,129,80
Benzylpenicillin,0.9527844786643982,118,98
Cefazolin,0.9273357391357422,846,1212
Cefepime,0.8894438147544861,1479,6293
Cefpodoxime,0.9192438125610352,462,876
Ceftazidime,0.7997700572013855,699,4838
Ceftriaxone,0.8868353962898254,1748,5691
Cefuroxime,0.9095556735992432,1177,1713
Ciprofloxacin,0.8572615385055542,1868,7375
Clarithromycin,0.7758077383041382,63,282
Clindamycin,0.8274334669113159,882,1983
Colistin,0.9826470613479614,572,3156
Cotrimoxazole,0.8863205313682556,1479,4992
Ertapenem,0.8224929571151733,95,4297
Erythromycin,0.8184496164321899,1096,1872
Fosfomycin,0.8817428350448608,453,1986
Fosfomycin-Trometamol,0.8161434531211853,273,949
Fusidic acid,0.8596742153167725,730,1768
Gentamicin,0.8920977115631104,670,4551
Imipenem,0.9493874907493591,1505,6360
Levofloxacin,0.8667856454849243,857,3606
Meropenem,0.9400410652160645,1025,5473
Mupirocin,0.9863170385360718,102,968
Nitrofurantoin,0.9650112986564636,267,693
Norfloxacin,0.7987929582595825,255,1384
Oxacillin,0.9304081201553345,1095,1632
Penicillin,0.9163212180137634,2519,858
Piperacillin-Tazobactam,0.8552225828170776,1527,6221
Polymyxin B,0.9995903372764587,109,448
Rifampicin,0.867191731929779,126,3047
Teicoplanin,0.9170177578926086,39,1735
Tetracycline,0.8901697993278503,699,2125
Tobramycin,0.807392418384552,342,3354
Vancomycin,0.9795089364051819,38,4161
micro,0.9164162278175354,,
macro,0.8890954114888844,,
