,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.9289995431900024,0.8670093417167664,2525,970
1,Amoxicillin-Clavulanic acid,0.9322306513786316,0.8670046925544739,3741,1301
2,Ampicillin-Amoxicillin,0.9269312024116516,0.8667125105857849,4000,1403
3,Cefazolin,0.9269051551818848,0.8665915727615356,1421,545
4,Cefepime,0.9240424036979675,0.8665053248405457,4160,1551
5,Cefpodoxime,0.931998610496521,0.8665854930877686,956,375
6,Ceftazidime,0.931480348110199,0.8667758703231812,2573,950
7,Ceftriaxone,0.9280163645744324,0.8665350079536438,3906,1410
8,Cefuroxime,0.9297068119049072,0.8667905330657959,1516,551
9,Ciprofloxacin,0.9273737072944641,0.8666195869445801,4476,1641
10,Clindamycin,0.9363795518875122,0.8669312596321106,1669,608
11,Colistin,0.9263895153999329,0.866872251033783,2737,995
12,Cotrimoxazole,0.9195927381515503,0.8667145371437073,3852,1468
13,Ertapenem,0.9309877157211304,0.8667928576469421,2210,794
14,Erythromycin,0.9269481301307678,0.8669062256813049,1565,604
15,Fosfomycin-Trometamol,0.9286245107650757,0.8669108152389526,922,292
16,Fusidic acid,0.9250144958496094,0.8669543862342834,1517,561
17,Gentamicin,0.9205442667007446,0.8668392896652222,1515,550
18,Imipenem,0.926895260810852,0.8666114807128906,4382,1520
19,Levofloxacin,0.9285765290260315,0.866632878780365,3081,1113
20,Meropenem,0.9278091192245483,0.8668111562728882,4309,1606
21,Nitrofurantoin,0.9249569177627563,0.8667542338371277,298,113
22,Norfloxacin,0.9252742528915405,0.8666809797286987,881,330
23,Oxacillin,0.9372090101242065,0.8667858242988586,1554,595
24,Penicillin,0.9368797540664673,0.8668153285980225,1957,683
25,Piperacillin-Tazobactam,0.9349204301834106,0.8671109080314636,4148,1548
26,Rifampicin,0.9275739789009094,0.8670473694801331,1591,559
27,Teicoplanin,0.9440692663192749,0.8672170042991638,1141,377
28,Tetracycline,0.9248257875442505,0.8670400977134705,1453,480
29,Tobramycin,0.9279711842536926,0.8672142624855042,2682,1015
