,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.9455220699310303,0.9219975471496582,2050,1001
1,Cefotaxim,0.946587860584259,0.9220884442329407,1483,704
2,Ceftazidime,0.9445866346359253,0.9224193692207336,1558,807
3,Ceftriaxone,0.9492400884628296,0.9222955703735352,731,327
4,Ciprofloxacin,0.9489035606384277,0.9222763180732727,1689,818
5,Clindamycin,0.9552773237228394,0.9227909445762634,1425,731
6,Cotrimoxazole,0.9410609006881714,0.9223398566246033,2593,1317
7,Erythromycin,0.9434816837310791,0.9221510291099548,1320,600
8,Fosfomycin,0.9447922706604004,0.922034502029419,1318,633
9,Gentamicin,0.9459699392318726,0.9221609234809875,2339,1142
10,Imipenem,0.9444667100906372,0.9223039746284485,2009,1033
11,Levofloxacin,0.9439902901649475,0.9222339987754822,803,373
12,Meropenem,0.9496434926986694,0.9222819209098816,1684,794
13,Moxifloxacin,0.9416429996490479,0.9223119616508484,1034,494
14,Oxacillin,0.9384803771972656,0.922258198261261,758,383
15,PenicillinG,0.9474329352378845,0.9221162796020508,1070,460
16,Piperacillin-Tazobactam,0.9459906220436096,0.9222477674484253,1581,796
17,Tetracycline,0.9328081011772156,0.922121524810791,782,420
18,Vancomycin,0.9487974643707275,0.9221906065940857,1456,708
