,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.9243243336677551,0.8640448451042175,2498,954
1,Amoxicillin-Clavulanic acid,0.9254114627838135,0.8644746541976929,3725,1314
2,Ampicillin-Amoxicillin,0.9176907539367676,0.8643673062324524,3927,1432
3,Cefazolin,0.9171669483184814,0.864342212677002,1456,553
4,Cefepime,0.9247918128967285,0.8649335503578186,4097,1589
5,Cefpodoxime,0.9190177321434021,0.8649360537528992,989,355
6,Ceftazidime,0.9091582894325256,0.8644952774047852,2552,937
7,Ceftriaxone,0.9108972549438477,0.8639307618141174,3856,1435
8,Cefuroxime,0.9170933961868286,0.8638027310371399,1563,560
9,Ciprofloxacin,0.9251021146774292,0.8641016483306885,4469,1615
10,Clindamycin,0.9213975667953491,0.8643249869346619,1658,657
11,Colistin,0.915785551071167,0.8643034100532532,2653,1019
12,Cotrimoxazole,0.92134690284729,0.8642991781234741,3923,1421
13,Ertapenem,0.9139479398727417,0.8642036318778992,2159,786
14,Erythromycin,0.9274071455001831,0.8645270466804504,1558,643
15,Fosfomycin-Trometamol,0.8969863653182983,0.8643024563789368,862,361
16,Fusidic acid,0.9140651226043701,0.8641183972358704,1563,563
17,Gentamicin,0.9239727258682251,0.8642482161521912,1503,604
18,Imipenem,0.9284954071044922,0.8645376563072205,4272,1619
19,Levofloxacin,0.922524094581604,0.8647432327270508,3038,1111
20,Meropenem,0.919879138469696,0.8644430041313171,4300,1593
21,Nitrofurantoin,0.9032138586044312,0.8644297122955322,284,118
22,Norfloxacin,0.9093174338340759,0.8642866015434265,876,346
23,Oxacillin,0.9073165059089661,0.8640467524528503,1604,581
24,Penicillin,0.9241873025894165,0.864203155040741,1942,725
25,Piperacillin-Tazobactam,0.926966667175293,0.8644437193870544,4158,1534
26,Rifampicin,0.9175800681114197,0.8644103407859802,1604,578
27,Teicoplanin,0.9222326278686523,0.8643319606781006,1107,424
28,Tetracycline,0.9103614091873169,0.8642101287841797,1455,527
29,Tobramycin,0.9104151129722595,0.8638002276420593,2626,1014
