,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.9288862347602844,0.906948983669281,2117,1024
1,Cefotaxim,0.932893693447113,0.9072545766830444,1503,772
2,Ceftazidime,0.930578887462616,0.906886875629425,1669,756
3,Ceftriaxone,0.9412325620651245,0.9070923924446106,724,346
4,Ciprofloxacin,0.9353272914886475,0.9072313904762268,1681,868
5,Clindamycin,0.9222667813301086,0.9068266153335571,1435,689
6,Cotrimoxazole,0.9353579878807068,0.9072188138961792,2617,1309
7,Erythromycin,0.9269323945045471,0.9071879982948303,1252,620
8,Fosfomycin,0.9384518265724182,0.9074496626853943,1291,679
9,Gentamicin,0.9334173798561096,0.907395601272583,2339,1168
10,Imipenem,0.931235671043396,0.9075131416320801,2051,1046
11,Levofloxacin,0.919055163860321,0.907285213470459,760,360
12,Meropenem,0.9412829279899597,0.907497763633728,1725,812
13,Moxifloxacin,0.9146292805671692,0.9070602059364319,1036,510
14,Oxacillin,0.9445624351501465,0.9072317481040955,749,352
15,PenicillinG,0.9278430938720703,0.9070881605148315,1028,488
16,Piperacillin-Tazobactam,0.9285411834716797,0.9070110321044922,1630,809
17,Tetracycline,0.927601158618927,0.9069875478744507,771,388
18,Vancomycin,0.9280929565429688,0.9069206714630127,1419,708
