,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.4796825647354126,0.3027547001838684,2064,1035
1,Cefotaxim,0.4553647041320801,0.30143171548843384,1541,698
2,Ceftazidime,0.4809202253818512,0.30155470967292786,1617,777
3,Ceftriaxone,0.4701266288757324,0.3017022907733917,753,373
4,Ciprofloxacin,0.4813905954360962,0.30174142122268677,1687,812
5,Clindamycin,0.4887446463108063,0.30248475074768066,1449,720
6,Cotrimoxazole,0.46247929334640503,0.30250048637390137,2619,1316
7,Erythromycin,0.4606427550315857,0.3021894693374634,1285,628
8,Fosfomycin,0.488517165184021,0.3030187785625458,1288,659
9,Gentamicin,0.4618707299232483,0.30372318625450134,2297,1223
10,Imipenem,0.4534817337989807,0.30381524562835693,2006,1036
11,Levofloxacin,0.4382043480873108,0.30309057235717773,814,368
12,Meropenem,0.4834693670272827,0.30312925577163696,1692,795
13,Moxifloxacin,0.4672318994998932,0.30306217074394226,1079,534
14,Oxacillin,0.4479157328605652,0.30290487408638,778,371
15,PenicillinG,0.44908955693244934,0.30213719606399536,1093,472
16,Piperacillin-Tazobactam,0.46957555413246155,0.3022533655166626,1598,799
17,Tetracycline,0.4686705768108368,0.30215391516685486,829,394
18,Vancomycin,0.4910319149494171,0.3018778860569,1511,670
