class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.35233843326568604,0.05836909871244635,204,3291
Amoxicillin-Clavulanic acid,0.9140398502349854,0.3913129710432368,1973,3069
Ampicillin-Amoxicillin,0.9855303764343262,0.816028132518971,4409,994
Cefazolin,0.9178950190544128,0.4165818921668362,819,1147
Cefepime,0.843532919883728,0.22693048502889163,1296,4415
Cefpodoxime,0.927954375743866,0.3441021788129226,458,873
Ceftazidime,0.6075243353843689,0.1393698552370139,491,3032
Ceftriaxone,0.8511589765548706,0.26787057938299474,1424,3892
Cefuroxime,0.9102020263671875,0.4189646831156265,866,1201
Ciprofloxacin,0.8047402501106262,0.2363903874448259,1446,4671
Clindamycin,0.7504256367683411,0.29424681598594643,670,1607
Colistin,0.9777268767356873,0.1610396570203644,601,3131
Cotrimoxazole,0.6484887003898621,0.18045112781954886,960,4360
Ertapenem,0.4886881113052368,0.017976031957390146,54,2950
Erythromycin,0.7691517472267151,0.3932687874596588,853,1316
Fosfomycin-Trometamol,0.6139756441116333,0.23064250411861614,280,934
Fusidic acid,0.7601626515388489,0.3060635226179018,636,1442
Gentamicin,0.8321618437767029,0.2217917675544794,458,1607
Imipenem,0.9230974912643433,0.23110809894950865,1364,4538
Levofloxacin,0.7639795541763306,0.18693371483071053,784,3410
Meropenem,0.8723845481872559,0.16669484361792053,986,4929
Nitrofurantoin,0.8880412578582764,0.18491484184914841,76,335
Norfloxacin,0.6114428639411926,0.1329479768786127,161,1050
Oxacillin,0.9153617024421692,0.42159143787808284,906,1243
Penicillin,0.9767332673072815,0.728030303030303,1922,718
Piperacillin-Tazobactam,0.8065215349197388,0.22577247191011235,1286,4410
Rifampicin,0.7118263840675354,0.05534883720930232,119,2031
Teicoplanin,0.5898902416229248,0.028985507246376812,44,1474
Tetracycline,0.8629467487335205,0.3166063114330057,612,1321
Tobramycin,0.43483099341392517,0.09467135515282661,350,3347
micro,0.8838946223258972,0.2670938879148782,,
macro,0.7770918120940526,NaN,,
