class,ROCAUC,n_positives,n_negatives
Amikacin,0.8673945069313049,212,3186
Amoxicillin-Clavulanic acid,0.927190363407135,1934,3065
Ampicillin-Amoxicillin,0.9469066262245178,4389,982
Cefazolin,0.9429771304130554,817,1186
Cefepime,0.9251421093940735,1297,4380
Cefpodoxime,0.9264706373214722,476,892
Ceftazidime,0.8508384227752686,495,2945
Ceftriaxone,0.917949378490448,1433,3820
Cefuroxime,0.935661792755127,872,1234
Ciprofloxacin,0.8850899934768677,1498,4585
Clindamycin,0.8454118967056274,740,1594
Colistin,0.9967355132102966,582,3047
Cotrimoxazole,0.8619621992111206,939,4341
Ertapenem,0.93742436170578,58,2852
Erythromycin,0.8214760422706604,917,1305
Fosfomycin-Trometamol,0.8488048315048218,289,952
Fusidic acid,0.8489500284194946,656,1475
Gentamicin,0.9397956132888794,432,1686
Imipenem,0.9684872627258301,1372,4496
Levofloxacin,0.8824214339256287,833,3332
Meropenem,0.9657106399536133,997,4870
Nitrofurantoin,0.955364465713501,98,350
Norfloxacin,0.8063637018203735,192,1044
Oxacillin,0.9410830140113831,893,1307
Penicillin,0.9575121402740479,1989,717
Piperacillin-Tazobactam,0.9012042284011841,1294,4354
Rifampicin,0.9198533892631531,95,2111
Teicoplanin,0.9424647092819214,44,1537
Tetracycline,0.930578351020813,587,1391
Tobramycin,0.8443801403045654,369,3238
micro,0.9368467330932617,,
macro,0.9080534974733988,,
