class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.42029884457588196,0.05282583621683968,229,4106
Amoxicillin-Clavulanic acid,0.8904011249542236,0.34969484482534735,2693,5008
Ampicillin,0.9493372440338135,0.6664136622390892,1756,879
Ampicillin-Amoxicillin,0.9873390793800354,0.8227162338875397,4404,949
Aztreonam,0.9197399020195007,0.6135265700483091,127,80
Benzylpenicillin,0.9637628793716431,0.48756218905472637,98,103
Cefazolin,0.9183531999588013,0.43270189431704886,868,1138
Cefepime,0.8212940692901611,0.19091261133341939,1479,6268
Cefpodoxime,0.9172532558441162,0.3310911808669656,443,895
Ceftazidime,0.5408974289894104,0.12394467397161847,690,4877
Ceftriaxone,0.8224736452102661,0.23343171451569628,1740,5714
Cefuroxime,0.9077929258346558,0.42336283185840706,1196,1629
Ciprofloxacin,0.7442405223846436,0.19833279203204504,1832,7405
Clarithromycin,0.5828284621238708,0.20795107033639143,68,259
Clindamycin,0.7571304440498352,0.3132867132867133,896,1964
Colistin,0.9814952611923218,0.1557131169893646,571,3096
Cotrimoxazole,0.7831006050109863,0.23361106744222607,1486,4875
Ertapenem,0.2782304286956787,0.016378730087502805,73,4384
Erythromycin,0.7639023065567017,0.3813443072702332,1112,1804
Fosfomycin,0.7323401570320129,0.18623962040332148,471,2058
Fosfomycin-Trometamol,0.6406303644180298,0.1959016393442623,239,981
Fusidic acid,0.76676344871521,0.3201990875155537,772,1639
Gentamicin,0.7616874575614929,0.12873169804145274,677,4582
Imipenem,0.9069522619247437,0.19630721887421465,1531,6268
Levofloxacin,0.7729876041412354,0.19166475841538813,837,3530
Meropenem,0.8721640706062317,0.16420692869349077,1057,5380
Mupirocin,0.9725605249404907,0.10679611650485436,110,920
Nitrofurantoin,0.9461303353309631,0.2672672672672673,267,732
Norfloxacin,0.5651100873947144,0.1394640682095006,229,1413
Oxacillin,0.9207189679145813,0.4246885617214043,1125,1524
Penicillin,0.9724252223968506,0.7490438364224772,2546,853
Piperacillin-Tazobactam,0.7682104706764221,0.19569698531306365,1519,6243
Polymyxin B,0.9905227422714233,0.16936936936936936,94,461
Rifampicin,0.6760578155517578,0.03994845360824742,124,2980
Teicoplanin,0.4400593042373657,0.029086678301337987,50,1669
Tetracycline,0.8319204449653625,0.2542796005706134,713,2091
Tobramycin,0.5013538002967834,0.0951856946354883,346,3289
Vancomycin,0.7884642481803894,0.010599855456516502,44,4107
micro,0.8741852045059204,0.24534887854121495,,
macro,0.783603446264016,NaN,,
