class,ROCAUC,n_positives,n_negatives
Amikacin,0.8655529618263245,229,4106
Amoxicillin-Clavulanic acid,0.9142555594444275,2693,5008
Ampicillin,0.9021245241165161,1756,879
Ampicillin-Amoxicillin,0.9417873024940491,4404,949
Aztreonam,0.8784449100494385,127,80
Benzylpenicillin,0.9638398885726929,98,103
Cefazolin,0.9372044205665588,868,1138
Cefepime,0.9197037220001221,1479,6268
Cefpodoxime,0.9313845038414001,443,895
Ceftazidime,0.825335681438446,690,4877
Ceftriaxone,0.9059274792671204,1740,5714
Cefuroxime,0.9260657429695129,1196,1629
Ciprofloxacin,0.8800092935562134,1832,7405
Clarithromycin,0.736202597618103,68,259
Clindamycin,0.8516982793807983,896,1964
Colistin,0.9887698292732239,571,3096
Cotrimoxazole,0.8977340459823608,1486,4875
Ertapenem,0.8392161130905151,73,4384
Erythromycin,0.8349699974060059,1112,1804
Fosfomycin,0.8804963827133179,471,2058
Fosfomycin-Trometamol,0.8556079864501953,239,981
Fusidic acid,0.8680222630500793,772,1639
Gentamicin,0.9164706468582153,677,4582
Imipenem,0.9643031358718872,1531,6268
Levofloxacin,0.8934018611907959,837,3530
Meropenem,0.9611714482307434,1057,5380
Mupirocin,0.985414981842041,110,920
Nitrofurantoin,0.978244423866272,267,732
Norfloxacin,0.8299879431724548,229,1413
Oxacillin,0.9379370212554932,1125,1524
Penicillin,0.9259477853775024,2546,853
Piperacillin-Tazobactam,0.8860629796981812,1519,6243
Polymyxin B,0.993607759475708,94,461
Rifampicin,0.9365960955619812,124,2980
Teicoplanin,0.9372079372406006,50,1669
Tetracycline,0.9172825813293457,713,2091
Tobramycin,0.8525511026382446,346,3289
Vancomycin,0.9441418647766113,44,4107
micro,0.9361616373062134,,
macro,0.9053863961445657,,
