class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.8903565406799316,0.27835051546391754,108,280
Ampicillin,0.9825745820999146,0.4849624060150376,129,137
Benzylpenicillin,0.9700689911842346,0.5765765765765766,128,94
Cefepime,0.7879056930541992,0.15315315315315314,51,282
Ciprofloxacin,0.5657704472541809,0.14463840399002495,58,343
Clindamycin,0.5719956159591675,0.21226415094339623,45,167
Fosfomycin,0.8380089998245239,0.2525597269624573,74,219
Nitrofurantoin,0.9917507171630859,0.5210526315789473,99,91
micro,0.909015417098999,0.30021691973969633,,
macro,0.8248039484024048,NaN,,
