class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.9114861488342285,0.31497797356828194,286,622
Ampicillin,0.9668847918510437,0.6997792494481236,634,272
Cefepime,0.5487480163574219,0.14942528735632185,52,296
Ceftazidime,0.4128319323062897,0.12406015037593984,66,466
Ceftriaxone,0.8140605688095093,0.2427536231884058,134,418
Cefuroxime,0.8602136373519897,0.3825136612021858,210,339
Ciprofloxacin,0.45552730560302734,0.08643617021276596,65,687
Clarithromycin,0.6425604820251465,0.19665271966527198,47,192
Clindamycin,0.8433701395988464,0.2873134328358209,77,191
Cotrimoxazole,0.8946921229362488,0.27361963190184047,223,592
Fosfomycin,0.8323516249656677,0.4340425531914894,102,133
Gentamicin,0.8000829815864563,0.1276595744680851,102,697
Nitrofurantoin,0.8311669826507568,0.15963855421686746,53,279
Oxacillin,0.9665036201477051,0.46107784431137727,154,180
Penicillin,0.8600379228591919,0.6975806451612904,173,75
Piperacillin-Tazobactam,0.5570394992828369,0.13721413721413722,66,415
Polymyxin B,0.9796338081359863,0.17690875232774675,95,442
micro,0.8849436640739441,0.28737973967176006,,
macro,0.7751289167824913,NaN,,
