class,ROCAUC,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.8371785283088684,287,1025
Ampicillin,0.8349012136459351,971,402
Cefepime,0.7224143147468567,63,1322
Ceftazidime,0.6472646594047546,115,1270
Ceftriaxone,0.6696308851242065,108,1212
Ciprofloxacin,0.7341399788856506,240,1720
Erythromycin,0.7856080532073975,133,354
Fosfomycin,0.8626343011856079,298,1615
Gentamicin,0.7515465617179871,108,1892
Imipenem,0.9507980346679688,115,1264
Penicillin,0.7463880777359009,375,67
Piperacillin-Tazobactam,0.6718661785125732,107,1260
Tetracycline,0.7649179697036743,77,533
micro,0.8698396682739258,,
macro,0.7676375966805679,,
