class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.7279630899429321,0.2402148887183423,313,990
Ampicillin,0.9178781509399414,0.7045790251107829,954,400
Cefepime,0.24728897213935852,0.049891540130151846,69,1314
Ceftazidime,0.2773950397968292,0.07910014513788098,109,1269
Ceftriaxone,0.30276599526405334,0.07568807339449542,99,1209
Ciprofloxacin,0.32752281427383423,0.11717171717171718,232,1748
Erythromycin,0.600007951259613,0.2778904665314402,137,356
Fosfomycin,0.6979604959487915,0.1485148514851485,285,1634
Gentamicin,0.19233781099319458,0.044212617983109784,89,1924
Imipenem,0.6599751114845276,0.0790454884414616,106,1235
Penicillin,0.9281700253486633,0.8344519015659956,373,74
Piperacillin-Tazobactam,0.2233966588973999,0.09157509157509157,125,1240
Tetracycline,0.5435011982917786,0.1032258064516129,64,556
micro,0.733697235584259,0.17481069569332702,,
macro,0.5112433318908398,NaN,,
