class,ROCAUC,n_positives,n_negatives
Ampicillin,0.9175282120704651,1632,1500
Ampicillin+Sulbactam,0.8376237750053406,1331,1160
Cefotaxim,0.768987238407135,244,2002
Ceftazidime,0.8867193460464478,606,1793
Ceftriaxone,0.8086324334144592,103,958
Ciprofloxacin,0.8948430418968201,650,1869
Clindamycin,0.9204529523849487,1072,1104
Cotrimoxazole,0.8956723809242249,1063,2882
Erythromycin,0.920133113861084,1080,835
Fosfomycin,0.9355073571205139,377,1613
Gentamicin,0.9884576201438904,2546,951
Imipenem,0.9891863465309143,786,2263
Levofloxacin,0.9002968668937683,312,838
Meropenem,0.9033448696136475,121,2389
Moxifloxacin,0.859295129776001,568,992
Oxacillin,0.8924305438995361,376,752
PenicillinG,0.9676217436790466,1175,382
Piperacillin-Tazobactam,0.851771891117096,683,1722
Tetracycline,0.8317582011222839,254,934
Vancomycin,0.9758952260017395,63,2124
micro,0.9389833807945251,,
macro,0.8973079144954681,,
