class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.36641520261764526,0.05098493626882966,176,3276
Amoxicillin-Clavulanic acid,0.8990395069122314,0.4006747370510022,2019,3020
Ampicillin-Amoxicillin,0.9847570061683655,0.8225415189401007,4408,951
Cefazolin,0.9095425605773926,0.4235938277750124,851,1158
Cefepime,0.8133367300033569,0.222124516355962,1263,4423
Cefpodoxime,0.9099081754684448,0.35714285714285715,480,864
Ceftazidime,0.5140057802200317,0.14416738320435654,503,2986
Ceftriaxone,0.8253666162490845,0.278019278019278,1471,3820
Cefuroxime,0.9002605676651001,0.4239284032030146,900,1223
Ciprofloxacin,0.7504373788833618,0.24293228139381987,1478,4606
Clindamycin,0.6998336315155029,0.3200863930885529,741,1574
Colistin,0.9898401498794556,0.1527777777777778,561,3111
Cotrimoxazole,0.6076289415359497,0.18244760479041916,975,4369
Ertapenem,0.38121283054351807,0.02173174872665535,64,2881
Erythromycin,0.7575060129165649,0.41935483870967744,923,1278
Fosfomycin-Trometamol,0.617352306842804,0.1929681112019624,236,987
Fusidic acid,0.7213270664215088,0.32408278457196615,689,1437
Gentamicin,0.8391817808151245,0.21499762695775984,453,1654
Imipenem,0.8954710364341736,0.23510439653709048,1385,4506
Levofloxacin,0.7093404531478882,0.1834176910098819,761,3388
Meropenem,0.8554249405860901,0.1785168844391651,1052,4841
Nitrofurantoin,0.8513251543045044,0.17412935323383086,70,332
Norfloxacin,0.4634353816509247,0.1309328968903437,160,1062
Oxacillin,0.9014840722084045,0.4311212814645309,942,1243
Penicillin,0.9810509085655212,0.7427821522309711,1981,686
Piperacillin-Tazobactam,0.7680190205574036,0.23225579761068166,1322,4370
Rifampicin,0.6114270687103271,0.04812098991750687,105,2077
Teicoplanin,0.5939822196960449,0.032658393207054215,50,1481
Tetracycline,0.8666436672210693,0.3213925327951564,637,1345
Tobramycin,0.4022347331047058,0.08571428571428572,312,3328
micro,0.8617268204689026,0.27173157337901155,,
macro,0.74622636338075,NaN,,
