class,ROCAUC,n_positives,n_negatives
Amikacin,0.8448519110679626,212,3186
Amoxicillin-Clavulanic acid,0.913403332233429,1934,3065
Ampicillin-Amoxicillin,0.9400436282157898,4389,982
Cefazolin,0.9317170977592468,817,1186
Cefepime,0.9101369976997375,1297,4380
Cefpodoxime,0.9195863008499146,476,892
Ceftazidime,0.8300834894180298,495,2945
Ceftriaxone,0.9027612209320068,1433,3820
Cefuroxime,0.9238146543502808,872,1234
Ciprofloxacin,0.8720006346702576,1498,4585
Clindamycin,0.8382388353347778,740,1594
Colistin,0.9953939914703369,582,3047
Cotrimoxazole,0.8466227650642395,939,4341
Ertapenem,0.8991150259971619,58,2852
Erythromycin,0.8204606175422668,917,1305
Fosfomycin-Trometamol,0.8338301181793213,289,952
Fusidic acid,0.8491003513336182,656,1475
Gentamicin,0.9323844909667969,432,1686
Imipenem,0.9586344957351685,1372,4496
Levofloxacin,0.871981143951416,833,3332
Meropenem,0.9522451758384705,997,4870
Nitrofurantoin,0.9534693956375122,98,350
Norfloxacin,0.7978577613830566,192,1044
Oxacillin,0.9300064444541931,893,1307
Penicillin,0.9549691081047058,1989,717
Piperacillin-Tazobactam,0.8827058672904968,1294,4354
Rifampicin,0.9275075197219849,95,2111
Teicoplanin,0.9551665186882019,44,1537
Tetracycline,0.9231258630752563,587,1391
Tobramycin,0.8212904930114746,369,3238
micro,0.9263795614242554,,
macro,0.897750174999237,,
