class,ROCAUC,n_positives,n_negatives
Amikacin,0.815674364566803,211,4259
Amoxicillin-Clavulanic acid,0.9040088057518005,2655,4987
Ampicillin,0.8848065137863159,1680,815
Ampicillin-Amoxicillin,0.9360244870185852,4407,1015
Aztreonam,0.8544626235961914,123,91
Benzylpenicillin,0.9585884809494019,120,98
Cefazolin,0.9304189085960388,825,1135
Cefepime,0.9023069739341736,1434,6342
Cefpodoxime,0.9131727814674377,468,877
Ceftazidime,0.8115355968475342,674,4990
Ceftriaxone,0.8900736570358276,1680,5747
Cefuroxime,0.9056087732315063,1135,1672
Ciprofloxacin,0.864519476890564,1870,7360
Clarithromycin,0.7914944887161255,63,265
Clindamycin,0.830552339553833,810,1960
Colistin,0.9878330230712891,632,3183
Cotrimoxazole,0.883309543132782,1474,4997
Ertapenem,0.8661161661148071,83,4397
Erythromycin,0.816993772983551,1052,1797
Fosfomycin,0.8616025447845459,408,2023
Fosfomycin-Trometamol,0.8055101037025452,258,953
Fusidic acid,0.8613656759262085,699,1691
Gentamicin,0.8754134178161621,680,4411
Imipenem,0.9483875036239624,1508,6338
Levofloxacin,0.8837432861328125,817,3715
Meropenem,0.94715416431427,1022,5476
Mupirocin,0.9968966841697693,108,910
Nitrofurantoin,0.9750356674194336,237,743
Norfloxacin,0.8166258931159973,228,1400
Oxacillin,0.931926965713501,1093,1518
Penicillin,0.925978422164917,2453,835
Piperacillin-Tazobactam,0.8592233657836914,1492,6270
Polymyxin B,0.9998792409896851,90,460
Rifampicin,0.8917192220687866,112,2958
Teicoplanin,0.9289421439170837,49,1679
Tetracycline,0.9009681344032288,725,2006
Tobramycin,0.8189310431480408,318,3478
Vancomycin,0.9708054065704346,42,4081
micro,0.9250777959823608,,
macro,0.8933581490265695,,
