class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.3080456256866455,0.04941069809610154,218,4194
Amoxicillin-Clavulanic acid,0.8835055232048035,0.34601402233186185,2665,5037
Ampicillin,0.9443860650062561,0.6693515908175593,1662,821
Ampicillin-Amoxicillin,0.9865982532501221,0.8187305652094384,4476,991
Aztreonam,0.877851128578186,0.5754716981132075,122,90
Benzylpenicillin,0.9762238264083862,0.5891089108910891,119,83
Cefazolin,0.9144506454467773,0.4265700483091787,883,1187
Cefepime,0.7888785600662231,0.1975940619401075,1544,6270
Cefpodoxime,0.8930477499961853,0.34558823529411764,470,890
Ceftazidime,0.4943248927593231,0.12688442211055276,707,4865
Ceftriaxone,0.80768883228302,0.24400375184242262,1821,5642
Cefuroxime,0.894877016544342,0.41930986406413384,1203,1666
Ciprofloxacin,0.7204433083534241,0.20805805263727933,1921,7312
Clarithromycin,0.5573917031288147,0.1986970684039088,61,246
Clindamycin,0.7244885563850403,0.31046312178387653,905,2010
Colistin,0.987511157989502,0.14486975013290804,545,3217
Cotrimoxazole,0.7478299140930176,0.22665218740304063,1461,4985
Ertapenem,0.265409916639328,0.018522701603794895,82,4345
Erythromycin,0.7461640238761902,0.38600067957866124,1136,1807
Fosfomycin,0.7420228719711304,0.18868703550784477,457,1965
Fosfomycin-Trometamol,0.5871511101722717,0.2264302981466559,281,960
Fusidic acid,0.7510502338409424,0.30250403877221327,749,1727
Gentamicin,0.7666784524917603,0.13756209400076425,720,4514
Imipenem,0.8862299919128418,0.19235138205225294,1524,6399
Levofloxacin,0.7363349199295044,0.193158953722334,864,3609
Meropenem,0.8520390391349792,0.16368325242718446,1079,5513
Mupirocin,0.9706597924232483,0.10690633869441817,113,944
Nitrofurantoin,0.914789080619812,0.2521276595744681,237,703
Norfloxacin,0.5509248375892639,0.1602446483180428,262,1373
Oxacillin,0.9198110699653625,0.42159383033419023,1148,1575
Penicillin,0.9716603755950928,0.7444477346757477,2514,863
Piperacillin-Tazobactam,0.7427167892456055,0.20176110260336907,1581,6255
Polymyxin B,0.9998903274536133,0.17890772128060264,95,436
Rifampicin,0.5578075647354126,0.0345264491605955,109,3048
Teicoplanin,0.5642123818397522,0.028797289666854884,51,1720
Tetracycline,0.8143667578697205,0.25435168738898756,716,2099
Tobramycin,0.45425981283187866,0.09264232008592911,345,3379
Vancomycin,0.8736932873725891,0.010734732824427481,45,4147
micro,0.856964111328125,0.24609600925390399,,
macro,0.7677740893865886,NaN,,
