class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.843294084072113,0.26208651399491095,103,290
Ampicillin,0.9704731702804565,0.5535055350553506,150,121
Benzylpenicillin,0.9770810008049011,0.5728155339805825,118,88
Cefepime,0.7438661456108093,0.13432835820895522,45,290
Ciprofloxacin,0.6946577429771423,0.18434343434343434,73,323
Clindamycin,0.5465905666351318,0.18316831683168316,37,165
Fosfomycin,0.804763674736023,0.15614617940199335,47,254
Nitrofurantoin,0.9961361885070801,0.5294117647058824,108,96
micro,0.9076564311981201,0.29506065857885616,,
macro,0.8221078217029572,NaN,,
