class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.897650957107544,0.31497797356828194,286,622
Ampicillin,0.9605758190155029,0.6997792494481236,634,272
Cefepime,0.42416247725486755,0.14942528735632185,52,296
Ceftazidime,0.3937625586986542,0.12406015037593984,66,466
Ceftriaxone,0.7990076541900635,0.2427536231884058,134,418
Cefuroxime,0.8526984453201294,0.3825136612021858,210,339
Ciprofloxacin,0.4338555932044983,0.08643617021276596,65,687
Clarithromycin,0.6531174778938293,0.19665271966527198,47,192
Clindamycin,0.8448726534843445,0.2873134328358209,77,191
Cotrimoxazole,0.8758494257926941,0.27361963190184047,223,592
Fosfomycin,0.8536717891693115,0.4340425531914894,102,133
Gentamicin,0.7827483415603638,0.1276595744680851,102,697
Nitrofurantoin,0.8388112783432007,0.15963855421686746,53,279
Oxacillin,0.9712412357330322,0.46107784431137727,154,180
Penicillin,0.8800718188285828,0.6975806451612904,173,75
Piperacillin-Tazobactam,0.5902178287506104,0.13721413721413722,66,415
Polymyxin B,0.9888635873794556,0.17690875232774675,95,442
micro,0.8750267028808594,0.28737973967176006,,
macro,0.7671281730427462,NaN,,
