class,ROCAUC,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.9264105558395386,308,604
Ampicillin,0.9237505197525024,616,297
Cefepime,0.7683073282241821,49,323
Ceftazidime,0.7427679896354675,72,507
Ceftriaxone,0.8952698111534119,155,446
Cefuroxime,0.8855984807014465,233,360
Ciprofloxacin,0.8046736717224121,83,679
Clarithromycin,0.7932432889938354,40,148
Clindamycin,0.9120182394981384,86,143
Cotrimoxazole,0.9270848035812378,265,555
Fosfomycin,0.8481115102767944,104,167
Gentamicin,0.9045100808143616,115,697
Nitrofurantoin,0.9770722389221191,63,297
Oxacillin,0.9541836380958557,148,146
Penicillin,0.7884457111358643,128,76
Piperacillin-Tazobactam,0.8597402572631836,63,440
Polymyxin B,0.9999779462814331,93,489
micro,0.9150682687759399,,
macro,0.8771274159936344,,
