class,ROCAUC,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.8310807347297668,313,990
Ampicillin,0.8095465898513794,954,400
Cefepime,0.7044758200645447,69,1314
Ceftazidime,0.7033567428588867,109,1269
Ceftriaxone,0.7212154865264893,99,1209
Ciprofloxacin,0.7141412496566772,232,1748
Erythromycin,0.7704420685768127,137,356
Fosfomycin,0.8491379022598267,285,1634
Gentamicin,0.710090160369873,89,1924
Imipenem,0.9109769463539124,106,1235
Penicillin,0.6991522312164307,373,74
Piperacillin-Tazobactam,0.6626967787742615,125,1240
Tetracycline,0.8165467977523804,64,556
micro,0.8597685694694519,,
macro,0.7617584237685571,,
