class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Ampicillin,0.919762372970581,0.5162640901771337,1603,1502
Ampicillin+Sulbactam,0.8738247156143188,0.5168539325842697,1288,1204
Cefotaxim,0.3243545889854431,0.10259797446059005,233,2038
Ceftazidime,0.8109040856361389,0.23793677204658903,572,1832
Ceftriaxone,0.36107006669044495,0.10672645739910314,119,996
Ciprofloxacin,0.8307077288627625,0.2568588469184891,646,1869
Clindamycin,0.9222612380981445,0.49303621169916434,1062,1092
Cotrimoxazole,0.8242114186286926,0.2717227523857358,1082,2900
Erythromycin,0.9389405250549316,0.5703742751713231,1082,815
Fosfomycin,0.8170168399810791,0.19226856561546288,378,1588
Gentamicin,0.9964548349380493,0.7278140062375957,2567,960
Imipenem,0.9802905321121216,0.26148293963254593,797,2251
Levofloxacin,0.8761061429977417,0.28181041844577287,330,841
Meropenem,0.4873020052909851,0.03807615230460922,95,2400
Moxifloxacin,0.8141992092132568,0.35875,574,1026
Oxacillin,0.8439127802848816,0.3342082239720035,382,761
PenicillinG,0.9832441806793213,0.7395561357702349,1133,399
Piperacillin-Tazobactam,0.7844894528388977,0.2653910149750416,638,1766
Tetracycline,0.7459287643432617,0.23377703826955074,281,921
Vancomycin,0.8615672588348389,0.025427646786870088,55,2108
micro,0.9070016145706177,0.3375956185217037,,
macro,0.7998274371027947,NaN,,
