class,ROCAUC,n_positives,n_negatives
Ampicillin,0.9150069952011108,1602,1486
Ampicillin+Sulbactam,0.8600943088531494,1299,1181
Cefotaxim,0.7248581647872925,252,1945
Ceftazidime,0.8667697906494141,611,1760
Ceftriaxone,0.7507990002632141,133,974
Ciprofloxacin,0.886896014213562,691,1815
Clindamycin,0.903190016746521,1075,1075
Cotrimoxazole,0.8931306600570679,1027,2879
Erythromycin,0.9064513444900513,1075,841
Fosfomycin,0.9148972034454346,345,1584
Gentamicin,0.9889650344848633,2528,957
Imipenem,0.990125834941864,769,2286
Levofloxacin,0.9217821359634399,323,836
Meropenem,0.9498860836029053,102,2383
Moxifloxacin,0.8570603132247925,570,1026
Oxacillin,0.9167757630348206,357,770
PenicillinG,0.9582537412643433,1162,383
Piperacillin-Tazobactam,0.8381009697914124,705,1686
Tetracycline,0.8176376819610596,262,916
Vancomycin,0.9504400491714478,85,2072
micro,0.9341723918914795,,
macro,0.8905560553073884,,
