class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN
Amikacin,0.8290170431137085,26,900
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.8248013854026794,536,1454
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN
Ampicillin,0.6746546626091003,714,634
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN
Azithromycin,NaN,NaN,NaN
Aztreonam,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN
Benzylpenicillin,0.7768512964248657,618,457
Benzylpenicillin_others,0.8799999952316284,2,25
Benzylpenicillin_with_meningitis,0.5399999618530273,2,25
Benzylpenicillin_with_pneumonia,0.307692289352417,1,26
Caspofungin,NaN,NaN,NaN
Cefalotin-Cefazolin,NaN,NaN,NaN
Cefazolin,NaN,NaN,NaN
Cefepime,0.7863696813583374,269,1420
Cefixime,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,0.250400185585022,234,566
Cefoxitin_screen,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN
Ceftazidime,0.688916802406311,106,834
Ceftazidime-Avibactam,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN
Ceftolozane-Tazobactam,NaN,NaN,NaN
Ceftriaxone,0.655867338180542,115,970
Cefuroxime,0.6628783941268921,304,499
Chloramphenicol,NaN,NaN,NaN
Ciprofloxacin,0.7431714534759521,339,1680
Clarithromycin,0.574181079864502,36,173
Clindamycin,0.6159176826477051,211,822
Colistin,NaN,NaN,NaN
Cotrimoxazol,0.5265384912490845,196,1553
Cotrimoxazole,NaN,NaN,NaN
Daptomycin,0.35933148860931396,1,718
Doxycycline,NaN,NaN,NaN
Ertapenem,0.8115286827087402,20,785
Erythromycin,0.6614774465560913,234,714
Fluconazol,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN
Fosfomycin,0.6251312494277954,293,1242
Fosfomycin-Trometamol,NaN,NaN,NaN
Fusidic acid,0.7463473677635193,176,560
Gentamicin,0.7573672533035278,133,1414
Gentamicin_high_level,0.6256983280181885,36,179
Imipenem,0.9038580060005188,92,1123
Isavuconazole,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN
Levofloxacin,0.786595344543457,197,1007
Linezolid,NaN,NaN,NaN
Meropenem,0.7585132718086243,11,905
Meropenem_with_meningitis,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN
Metronidazole,0.8160920143127441,3,29
Micafungin,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN
Moxifloxacin,NaN,NaN,NaN
Mupirocin,0.6491736173629761,10,726
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.8391031622886658,534,481
Norfloxacin,0.683185875415802,143,657
Novobiocin,NaN,NaN,NaN
Oxacillin,0.7824799418449402,186,545
Penicillin,NaN,NaN,NaN
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.6943617463111877,188,987
Polymyxin B,NaN,NaN,NaN
Posaconazole,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN
Rifampicin,0.774690568447113,13,789
Rifampicin_1mg-l,NaN,NaN,NaN
Strepomycin_high_level,0.6057692766189575,26,56
Teicoplanin,0.7707880735397339,10,736
Teicoplanin_GRD,NaN,NaN,NaN
Tetracycline,0.6619194149971008,130,747
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,0.5329843163490295,2,955
Tobramycin,NaN,NaN,NaN
Vancomycin,0.9204405546188354,16,1220
Voriconazole,NaN,NaN,NaN
micro,0.7848923802375793,,
macro,0.652602368593216,,
