class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN,NaN
Amikacin,0.08430266380310059,0.028077753779697623,26,900
Aminoglycosides,NaN,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.6463616490364075,0.2693467336683417,536,1454
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN,NaN
Ampicillin,0.39928439259529114,0.5296735905044511,714,634
Ampicillin+Sulbactam,NaN,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN,NaN
Azithromycin,NaN,NaN,NaN,NaN
Aztreonam,NaN,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN,NaN
Benzylpenicillin,0.5622636675834656,0.5748837209302325,618,457
Benzylpenicillin_others,0.14835165441036224,0.07407407407407407,2,25
Benzylpenicillin_with_meningitis,0.07878787815570831,0.07407407407407407,2,25
Benzylpenicillin_with_pneumonia,0.03999999910593033,0.037037037037037035,1,26
Caspofungin,NaN,NaN,NaN,NaN
Cefalotin-Cefazolin,NaN,NaN,NaN,NaN
Cefazolin,NaN,NaN,NaN,NaN
Cefepime,0.4760584533214569,0.15926583777383066,269,1420
Cefixime,NaN,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN,NaN
Cefoxitin,0.4449993371963501,0.2925,234,566
Cefoxitin_screen,NaN,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN,NaN
Ceftazidime,0.18505290150642395,0.1127659574468085,106,834
Ceftazidime-Avibactam,NaN,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN,NaN
Ceftolozane-Tazobactam,NaN,NaN,NaN,NaN
Ceftriaxone,0.15148206055164337,0.10599078341013825,115,970
Cefuroxime,0.4988342225551605,0.37858032378580325,304,499
Chloramphenicol,NaN,NaN,NaN,NaN
Ciprofloxacin,0.41551291942596436,0.16790490341753342,339,1680
Clarithromycin,0.23579508066177368,0.1722488038277512,36,173
Clindamycin,0.2670174539089203,0.2042594385285576,211,822
Colistin,NaN,NaN,NaN,NaN
Cotrimoxazol,0.12067664414644241,0.11206403659233848,196,1553
Cotrimoxazole,NaN,NaN,NaN,NaN
Daptomycin,0.0018939394503831863,0.0013908205841446453,1,718
Doxycycline,NaN,NaN,NaN,NaN
Ertapenem,0.11617706716060638,0.024844720496894408,20,785
Erythromycin,0.36961883306503296,0.2468354430379747,234,714
Fluconazol,NaN,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN,NaN
Fosfomycin,0.3000572621822357,0.19087947882736156,293,1242
Fosfomycin-Trometamol,NaN,NaN,NaN,NaN
Fusidic acid,0.5089736580848694,0.2391304347826087,176,560
Gentamicin,0.3742629885673523,0.08597285067873303,133,1414
Gentamicin_high_level,0.27410852909088135,0.16744186046511628,36,179
Imipenem,0.3842911720275879,0.0757201646090535,92,1123
Isavuconazole,NaN,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN,NaN
Levofloxacin,0.5109441876411438,0.16362126245847175,197,1007
Linezolid,NaN,NaN,NaN,NaN
Meropenem,0.025355281308293343,0.012008733624454149,11,905
Meropenem_with_meningitis,NaN,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN,NaN
Metronidazole,0.22440478205680847,0.09375,3,29
Micafungin,NaN,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN,NaN
Moxifloxacin,NaN,NaN,NaN,NaN
Mupirocin,0.021153274923563004,0.01358695652173913,10,726
Neomycin,NaN,NaN,NaN,NaN
Nitrofurantoin,0.7811540961265564,0.5261083743842364,534,481
Norfloxacin,0.3381946384906769,0.17875,143,657
Novobiocin,NaN,NaN,NaN,NaN
Oxacillin,0.5397812128067017,0.25444596443228457,186,545
Penicillin,NaN,NaN,NaN,NaN
PenicillinG,NaN,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN,NaN
Piperacillin-Tazobactam,0.22993969917297363,0.16,188,987
Polymyxin B,NaN,NaN,NaN,NaN
Posaconazole,NaN,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN,NaN
Rifampicin,0.060251738876104355,0.016209476309226933,13,789
Rifampicin_1mg-l,NaN,NaN,NaN,NaN
Strepomycin_high_level,0.49327322840690613,0.3170731707317073,26,56
Teicoplanin,0.03268523886799812,0.013404825737265416,10,736
Teicoplanin_GRD,NaN,NaN,NaN,NaN
Tetracycline,0.23929713666439056,0.14823261117445838,130,747
Ticarcillin,NaN,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN,NaN
Tigecycline,0.012519730255007744,0.0020898641588296763,2,955
Tobramycin,NaN,NaN,NaN,NaN
Vancomycin,0.12164827436208725,0.012944983818770227,16,1220
Voriconazole,NaN,NaN,NaN,NaN
micro,0.4017508327960968,0.17721992178513918,,
macro,0.28196755125138323,NaN,,
