class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN
Amikacin,0.7291280627250671,33,1813
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.8235230445861816,1394,3150
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN
Ampicillin,0.49528852105140686,3024,1523
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN
Azithromycin,0.6792452931404114,2,53
Aztreonam,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN
Benzylpenicillin,NaN,NaN,NaN
Benzylpenicillin_others,NaN,NaN,NaN
Benzylpenicillin_with_meningitis,NaN,NaN,NaN
Benzylpenicillin_with_pneumonia,NaN,NaN,NaN
Caspofungin,NaN,NaN,NaN
Cefalotin-Cefazolin,0.3921568691730499,51,1
Cefazolin,NaN,NaN,NaN
Cefepime,0.6083106994628906,259,1582
Cefixime,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,NaN,NaN,NaN
Cefoxitin_screen,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN
Ceftazidime,0.6215389370918274,354,2420
Ceftazidime-Avibactam,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN
Ceftolozane-Tazobactam,1.0,1,1
Ceftriaxone,0.6570378541946411,716,2159
Cefuroxime,0.6869804263114929,1076,1766
Chloramphenicol,NaN,NaN,NaN
Ciprofloxacin,0.7256838083267212,396,3385
Clarithromycin,0.5892048478126526,215,835
Clindamycin,0.6835010051727295,397,826
Colistin,0.6571428179740906,5,7
Cotrimoxazol,NaN,NaN,NaN
Cotrimoxazole,0.6324684619903564,1253,2822
Daptomycin,NaN,NaN,NaN
Doxycycline,0.5643413662910461,44,793
Ertapenem,NaN,NaN,NaN
Erythromycin,0.8888888955116272,3,51
Fluconazol,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN
Fosfomycin,0.7477766275405884,503,752
Fosfomycin-Trometamol,NaN,NaN,NaN
Fusidic acid,0.7205655574798584,31,714
Gentamicin,0.656075119972229,550,3441
Gentamicin_high_level,NaN,NaN,NaN
Imipenem,0.7879916429519653,44,1812
Isavuconazole,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN
Levofloxacin,NaN,NaN,NaN
Linezolid,0.25,3,304
Meropenem,0.8611111640930176,8,18
Meropenem_with_meningitis,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN
Metronidazole,0.37378641963005066,2,103
Micafungin,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN
Moxifloxacin,0.6060606241226196,4,66
Mupirocin,0.6687983870506287,535,140
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.8608652353286743,325,1426
Norfloxacin,0.7573390007019043,191,1140
Novobiocin,0.8187404274940491,7,93
Oxacillin,0.7810670137405396,710,851
Penicillin,0.7315346598625183,724,412
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.6644123792648315,309,2185
Polymyxin B,0.5364219546318054,486,2305
Posaconazole,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN
Rifampicin,0.4181937277317047,4,764
Rifampicin_1mg-l,NaN,NaN,NaN
Strepomycin_high_level,NaN,NaN,NaN
Teicoplanin,NaN,NaN,NaN
Teicoplanin_GRD,NaN,NaN,NaN
Tetracycline,0.46786394715309143,23,46
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,NaN,NaN,NaN
Tobramycin,NaN,NaN,NaN
Vancomycin,0.9456226825714111,16,1108
Voriconazole,NaN,NaN,NaN
micro,0.7483767867088318,,
macro,0.5236666843942974,,
