class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN
Amikacin,0.0,1674,0
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,0.0,1,0
Amoxicillin+Clavulanic acid,0.8205127716064453,2,156
Amoxicillin-Clavulanic acid,0.7272726893424988,1,11
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN
AmphotericinB,0.016822457313537598,1,1070
Ampicillin,0.190412700176239,8045,7465
Ampicillin+Sulbactam,0.5598040223121643,6450,5944
Ampicillin-Amoxicillin,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN
Azithromycin,0.5054322481155396,151,587
Aztreonam,NaN,NaN,NaN
Bacitracin,0.30263689160346985,29,85
Benzylpenicillin,NaN,NaN,NaN
Benzylpenicillin_others,NaN,NaN,NaN
Benzylpenicillin_with_meningitis,NaN,NaN,NaN
Benzylpenicillin_with_pneumonia,NaN,NaN,NaN
Caspofungin,0.35026881098747253,175,744
Cefalotin-Cefazolin,NaN,NaN,NaN
Cefazolin,NaN,NaN,NaN
Cefepime,0.5521130561828613,1517,9
Cefixime,NaN,NaN,NaN
Cefotaxim,0.5239708423614502,1203,9931
Cefotaxime,NaN,NaN,NaN
Cefoxitin,0.0,1,0
Cefoxitin_screen,NaN,NaN,NaN
Cefpodoxime,0.714285671710968,3,7
Ceftarolin,NaN,NaN,NaN
Ceftazidime,0.6372116208076477,2937,8980
Ceftazidime-Avibactam,0.5236363410949707,22,50
Ceftobiprole,NaN,NaN,NaN
Ceftolozane-Tazobactam,0.5840336680412292,17,56
Ceftriaxone,0.6567095518112183,597,4852
Cefuroxime,0.33037903904914856,7334,3
Chloramphenicol,NaN,NaN,NaN
Ciprofloxacin,0.6414337754249573,3267,9245
Clarithromycin,0.5634893178939819,151,587
Clindamycin,0.5801216959953308,5459,5381
Colistin,NaN,NaN,NaN
Cotrimoxazol,NaN,NaN,NaN
Cotrimoxazole,0.6576915383338928,5257,14354
Daptomycin,NaN,NaN,NaN
Doxycycline,NaN,NaN,NaN
Ertapenem,NaN,NaN,NaN
Erythromycin,0.6960534453392029,5475,4098
Fluconazol,0.3140709400177002,184,877
Fluconazole,NaN,NaN,NaN
Fosfomycin,0.5921002626419067,1849,7920
Fosfomycin-Trometamol,NaN,NaN,NaN
Fusidic acid,0.4470677971839905,13,101
Gentamicin,0.7145707607269287,12669,4800
Gentamicin_high_level,NaN,NaN,NaN
Imipenem,0.8913303017616272,3938,11342
Isavuconazole,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN
Levofloxacin,0.7691578269004822,1599,4224
Linezolid,0.5564259886741638,69,9840
Meropenem,0.784172773361206,515,11917
Meropenem_with_meningitis,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN
Metronidazole,NaN,NaN,NaN
Micafungin,0.8686617612838745,3,802
Minocycline,NaN,NaN,NaN
Moxifloxacin,0.5231959819793701,2808,5045
Mupirocin,0.3899082839488983,8,109
Neomycin,0.2660714387893677,35,80
Nitrofurantoin,0.7625653743743896,153,4058
Norfloxacin,NaN,NaN,NaN
Novobiocin,NaN,NaN,NaN
Oxacillin,0.742479145526886,1868,3804
Penicillin,0.5981616973876953,16,170
PenicillinG,0.4691563844680786,5883,1885
Penicillin_with_endokarditis,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN
Piperacillin,0.4967030882835388,1557,60
Piperacillin-Tazobactam,0.6726322770118713,3343,8624
Polymyxin B,NaN,NaN,NaN
Posaconazole,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN
Rifampicin,0.790976345539093,184,5472
Rifampicin_1mg-l,NaN,NaN,NaN
Strepomycin_high_level,NaN,NaN,NaN
Teicoplanin,0.21739131212234497,1,23
Teicoplanin_GRD,NaN,NaN,NaN
Tetracycline,0.7426965832710266,1356,4625
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,0.7771205306053162,99,9560
Tobramycin,0.0,1685,0
Vancomycin,0.766025185585022,330,10551
Voriconazole,0.41845765709877014,8,791
micro,0.7024549841880798,,
macro,0.45097178691311884,,
