class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
5-Fluorocytosine,0.055541131645441055,0.03676470588235294,25,655
Amikacin,0.07789424806833267,0.05661363372430612,975,16247
Aminoglycosides,0.20217497646808624,0.16393442622950818,20,102
Amoxicillin,0.19206289947032928,0.21621621621621623,136,493
Amoxicillin+Clavulanic acid,NaN,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.4082982838153839,0.3932138893293166,9920,15308
Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.35128214955329895,0.3,24,56
AmphotericinB,NaN,NaN,NaN,NaN
Ampicillin,NaN,NaN,NaN,NaN
Ampicillin+Sulbactam,NaN,NaN,NaN,NaN
Ampicillin-Amoxicillin,0.8278658390045166,0.8174612035279669,21966,4905
Ampicillin-Sulbactam,0.9805194735527039,0.7857142857142857,11,3
Anidulafungin,0.24507944285869598,0.28296296296296297,191,484
Azithromycin,0.10290753096342087,0.12631578947368421,12,83
Aztreonam,0.6622186303138733,0.705607476635514,604,252
Bacitracin,1.0,1.0,4,0
Benzylpenicillin,NaN,NaN,NaN,NaN
Benzylpenicillin_others,NaN,NaN,NaN,NaN
Benzylpenicillin_with_meningitis,NaN,NaN,NaN,NaN
Benzylpenicillin_with_pneumonia,NaN,NaN,NaN,NaN
Caspofungin,0.056612640619277954,0.05393586005830904,37,649
Cefalotin-Cefazolin,NaN,NaN,NaN,NaN
Cefazolin,0.3208226263523102,0.420785173375847,4223,5813
Cefepime,0.24386774003505707,0.2288945076555696,6518,21958
Cefixime,0.10894487798213959,0.08108108108108109,6,68
Cefotaxim,NaN,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN,NaN
Cefoxitin,NaN,NaN,NaN,NaN
Cefoxitin_screen,0.2165151685476303,0.09615384615384616,5,47
Cefpodoxime,0.7031328678131104,0.34791666666666665,2338,4382
Ceftarolin,0.36218246817588806,0.2702702702702703,10,27
Ceftazidime,0.15202650427818298,0.14115685372585096,2455,14937
Ceftazidime-Avibactam,0.16746622323989868,0.2222222222222222,16,56
Ceftobiprole,0.869194507598877,0.6129032258064516,38,24
Ceftolozane-Tazobactam,0.7305884957313538,0.32710280373831774,35,72
Ceftriaxone,0.2960808277130127,0.27496703710679976,7299,19246
Cefuroxime,0.6288561820983887,0.4230478351295141,4475,6103
Chloramphenicol,0.09389133006334305,0.13793103448275862,28,175
Ciprofloxacin,0.27833250164985657,0.24431129882460792,7462,23081
Clarithromycin,0.20749714970588684,0.18849840255591055,59,254
Clindamycin,0.49039173126220703,0.3132104719255942,3637,7975
Colistin,0.1086263656616211,0.15545737195221732,2850,15483
Cotrimoxazol,NaN,NaN,NaN,NaN
Cotrimoxazole,0.2694687247276306,0.18288288288288287,4872,21768
Daptomycin,0.05005421116948128,0.008784258608573436,100,11284
Doxycycline,0.1184787005186081,0.11428571428571428,12,93
Ertapenem,0.01975269429385662,0.019521453263742966,288,14465
Erythromycin,0.6036257743835449,0.4087914071667118,4529,6550
Fluconazol,NaN,NaN,NaN,NaN
Fluconazole,0.3242913782596588,0.3925925925925926,265,410
Fosfomycin,0.7740560173988342,0.5802469135802469,47,34
Fosfomycin-Trometamol,0.3073529601097107,0.21634850709740577,1326,4803
Fusidic acid,0.38494041562080383,0.32086114505969726,3413,7224
Gentamicin,0.37760451436042786,0.2176954343510729,2303,8276
Gentamicin_high_level,0.1503744274377823,0.15451895043731778,106,580
Imipenem,0.37796077132225037,0.23381307202885238,6872,22519
Isavuconazole,0.3333333432674408,0.2,1,4
Itraconazole,0.5626599788665771,0.3772455089820359,252,416
Levofloxacin,0.18077977001667023,0.19115665896843725,3973,16811
Linezolid,0.002760104602202773,0.0011393229166666667,14,12274
Meropenem,0.3734583854675293,0.17422369713182756,5145,24386
Meropenem_with_meningitis,0.10320620983839035,0.13333333333333333,28,182
Meropenem_without_meningitis,0.1310054361820221,0.035211267605633804,5,137
Metronidazole,0.1827327013015747,0.05668016194331984,14,233
Micafungin,0.14442789554595947,0.1514705882352941,103,577
Minocycline,0.24991551041603088,0.2972972972972973,22,52
Moxifloxacin,0.2015039473772049,0.22141119221411193,91,320
Mupirocin,0.017165660858154297,0.00655307994757536,25,3790
Neomycin,NaN,NaN,NaN,NaN
Nitrofurantoin,0.6210713386535645,0.1954459203036053,412,1696
Norfloxacin,0.15742561221122742,0.14266994266994268,871,5234
Novobiocin,NaN,NaN,NaN,NaN
Oxacillin,0.7299514412879944,0.42248520710059173,4641,6344
Penicillin,0.7226611375808716,0.7370580337162465,9881,3525
