class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,0.6659542322158813,25,655
Amikacin,0.5908767580986023,975,16247
Aminoglycosides,0.39754900336265564,20,102
Amoxicillin,0.3651861250400543,136,493
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.45701873302459717,9920,15308
Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.4501488208770752,24,56
AmphotericinB,NaN,NaN,NaN
Ampicillin,NaN,NaN,NaN
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,0.49475497007369995,21966,4905
Ampicillin-Sulbactam,0.6060605645179749,11,3
Anidulafungin,0.49021029472351074,191,484
Azithromycin,0.30321288108825684,12,83
Aztreonam,0.48650532960891724,604,252
Bacitracin,0.0,4,0
Benzylpenicillin,NaN,NaN,NaN
Benzylpenicillin_others,NaN,NaN,NaN
Benzylpenicillin_with_meningitis,NaN,NaN,NaN
Benzylpenicillin_with_pneumonia,NaN,NaN,NaN
Caspofungin,0.46982884407043457,37,649
Cefalotin-Cefazolin,NaN,NaN,NaN
Cefazolin,0.23043297231197357,4223,5813
Cefepime,0.5470556616783142,6518,21958
Cefixime,0.49264708161354065,6,68
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,NaN,NaN,NaN
Cefoxitin_screen,0.48510637879371643,5,47
Cefpodoxime,0.7567993998527527,2338,4382
Ceftarolin,0.7259259819984436,10,27
Ceftazidime,0.5741840600967407,2455,14937
Ceftazidime-Avibactam,0.4140625,16,56
Ceftobiprole,0.8991228342056274,38,24
Ceftolozane-Tazobactam,0.6746032238006592,35,72
Ceftriaxone,0.597018301486969,7299,19246
Cefuroxime,0.692879319190979,4475,6103
Chloramphenicol,0.45469388365745544,28,175
Ciprofloxacin,0.631222128868103,7462,23081
Clarithromycin,0.4634993076324463,59,254
Clindamycin,0.6797333359718323,3637,7975
Colistin,0.6862267851829529,2850,15483
Cotrimoxazol,NaN,NaN,NaN
Cotrimoxazole,0.6783246994018555,4872,21768
Daptomycin,0.5106140971183777,100,11284
Doxycycline,0.3458781838417053,12,93
Ertapenem,0.5533738136291504,288,14465
Erythromycin,0.6972054243087769,4529,6550
Fluconazol,NaN,NaN,NaN
Fluconazole,0.47572022676467896,265,410
Fosfomycin,0.6996245384216309,47,34
Fosfomycin-Trometamol,0.3858153223991394,1326,4803
Fusidic acid,0.6328505277633667,3413,7224
Gentamicin,0.6932766437530518,2303,8276
Gentamicin_high_level,0.587752103805542,106,580
Imipenem,0.7644825577735901,6872,22519
Isavuconazole,1.0,1,4
Itraconazole,0.25993016362190247,252,416
Levofloxacin,0.47173720598220825,3973,16811
Linezolid,0.15089386701583862,14,12274
Meropenem,0.7716670036315918,5145,24386
Meropenem_with_meningitis,0.5115777254104614,28,182
Meropenem_without_meningitis,0.373722642660141,5,137
Metronidazole,0.5600858330726624,14,233
Micafungin,0.34946408867836,103,577
Minocycline,0.5428321361541748,22,52
Moxifloxacin,0.4760473966598511,91,320
Mupirocin,0.6756728887557983,25,3790
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.8907251358032227,412,1696
Norfloxacin,0.4790853261947632,871,5234
Novobiocin,NaN,NaN,NaN
Oxacillin,0.7863867878913879,4641,6344
Penicillin,0.5825968980789185,9881,3525
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,0.6373817324638367,178,152
Penicillin_with_meningitis,0.47765281796455383,58,233
Penicillin_with_other_infections,0.5123260617256165,51,241
Penicillin_with_pneumonia,0.4756820499897003,12,281
Penicillin_without_endokarditis,0.567992627620697,141,184
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.5046457052230835,6546,21852
Polymyxin B,NaN,NaN,NaN
Posaconazole,0.507685661315918,51,361
Quinolones,0.46021777391433716,12,199
Rifampicin,0.7711718678474426,542,10424
Rifampicin_1mg-l,0.3125,2,8
Strepomycin_high_level,NaN,NaN,NaN
Teicoplanin,0.42988282442092896,226,7465
Teicoplanin_GRD,0.25,2,10
Tetracycline,0.8391290307044983,3082,6836
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,0.0,5,0
Tigecycline,0.7560241222381592,48,12232
Tobramycin,0.505732536315918,1695,16495
Vancomycin,0.8427830338478088,178,14898
Voriconazole,0.5071079730987549,29,473
micro,0.5948810577392578,,
macro,0.5330880359782801,,
