class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN
Amikacin,0.6614102125167847,26,900
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.35546302795410156,536,1454
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN
Ampicillin,0.9526350498199463,714,634
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN
Azithromycin,NaN,NaN,NaN
Aztreonam,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN
Benzylpenicillin,0.2776727080345154,618,457
Benzylpenicillin_others,0.6599999666213989,2,25
Benzylpenicillin_with_meningitis,0.10000002384185791,2,25
Benzylpenicillin_with_pneumonia,0.07692307233810425,1,26
Caspofungin,NaN,NaN,NaN
Cefalotin-Cefazolin,NaN,NaN,NaN
Cefazolin,NaN,NaN,NaN
Cefepime,0.5222786068916321,269,1420
Cefixime,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,0.5487149357795715,234,566
Cefoxitin_screen,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN
Ceftazidime,0.5876430869102478,106,834
Ceftazidime-Avibactam,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN
Ceftolozane-Tazobactam,NaN,NaN,NaN
Ceftriaxone,0.654755711555481,115,970
Cefuroxime,0.391592413187027,304,499
Chloramphenicol,NaN,NaN,NaN
Ciprofloxacin,0.633795976638794,339,1680
Clarithromycin,0.4616249203681946,36,173
Clindamycin,0.6097801923751831,211,822
Colistin,NaN,NaN,NaN
Cotrimoxazol,0.44393667578697205,196,1553
Cotrimoxazole,NaN,NaN,NaN
Daptomycin,0.8259052634239197,1,718
Doxycycline,NaN,NaN,NaN
Ertapenem,0.5403821468353271,20,785
Erythromycin,0.6117096543312073,234,714
Fluconazol,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN
Fosfomycin,0.8577489852905273,293,1242
Fosfomycin-Trometamol,NaN,NaN,NaN
Fusidic acid,0.5331067442893982,176,560
Gentamicin,0.4780445098876953,133,1414
Gentamicin_high_level,0.5243637561798096,36,179
Imipenem,0.8462774753570557,92,1123
Isavuconazole,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN
Levofloxacin,0.7232242822647095,197,1007
Linezolid,NaN,NaN,NaN
Meropenem,0.8867906332015991,11,905
Meropenem_with_meningitis,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN
Metronidazole,0.517241358757019,3,29
Micafungin,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN
Moxifloxacin,NaN,NaN,NaN
Mupirocin,0.2873278558254242,10,726
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.7169402837753296,534,481
Norfloxacin,0.6995668411254883,143,657
Novobiocin,NaN,NaN,NaN
Oxacillin,0.8345614671707153,186,545
Penicillin,NaN,NaN,NaN
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.6572355031967163,188,987
Polymyxin B,NaN,NaN,NaN
Posaconazole,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN
Rifampicin,0.8248026371002197,13,789
Rifampicin_1mg-l,NaN,NaN,NaN
Strepomycin_high_level,0.4642857015132904,26,56
Teicoplanin,0.18858695030212402,10,736
Teicoplanin_GRD,NaN,NaN,NaN
Tetracycline,0.5589331984519958,130,747
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,0.4706806540489197,2,955
Tobramycin,NaN,NaN,NaN
Vancomycin,0.9193134903907776,16,1220
Voriconazole,NaN,NaN,NaN
micro,0.6614246368408203,,
macro,0.547631399333477,,
