class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN
Amikacin,0.6795366406440735,33,1813
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.5690426826477051,1394,3150
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN
Ampicillin,0.8162736892700195,3024,1523
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN
Azithromycin,0.7641509771347046,2,53
Aztreonam,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN
Benzylpenicillin,NaN,NaN,NaN
Benzylpenicillin_others,NaN,NaN,NaN
Benzylpenicillin_with_meningitis,NaN,NaN,NaN
Benzylpenicillin_with_pneumonia,NaN,NaN,NaN
Caspofungin,NaN,NaN,NaN
Cefalotin-Cefazolin,0.1764705926179886,51,1
Cefazolin,NaN,NaN,NaN
Cefepime,0.5588119626045227,259,1582
Cefixime,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,NaN,NaN,NaN
Cefoxitin_screen,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN
Ceftazidime,0.5750105381011963,354,2420
Ceftazidime-Avibactam,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN
Ceftolozane-Tazobactam,1.0,1,1
Ceftriaxone,0.7822432518005371,716,2159
Cefuroxime,0.3231627345085144,1076,1766
Chloramphenicol,NaN,NaN,NaN
Ciprofloxacin,0.6596958637237549,396,3385
Clarithromycin,0.6704220175743103,215,835
Clindamycin,0.8861376047134399,397,826
Colistin,0.0,5,7
Cotrimoxazol,NaN,NaN,NaN
Cotrimoxazole,0.8089165687561035,1253,2822
Daptomycin,NaN,NaN,NaN
Doxycycline,0.45130687952041626,44,793
Ertapenem,NaN,NaN,NaN
Erythromycin,0.5882352590560913,3,51
Fluconazol,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN
Fosfomycin,0.8002278804779053,503,752
Fosfomycin-Trometamol,NaN,NaN,NaN
Fusidic acid,0.5890485048294067,31,714
Gentamicin,0.3543618321418762,550,3441
Gentamicin_high_level,NaN,NaN,NaN
Imipenem,0.8228351473808289,44,1812
Isavuconazole,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN
Levofloxacin,NaN,NaN,NaN
Linezolid,0.8037281036376953,3,304
Meropenem,0.3611111044883728,8,18
Meropenem_with_meningitis,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN
Metronidazole,0.3300970792770386,2,103
Micafungin,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN
Moxifloxacin,0.28409090638160706,4,66
Mupirocin,0.8624565005302429,535,140
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.8904973268508911,325,1426
Norfloxacin,0.6536786556243896,191,1140
Novobiocin,0.7388632893562317,7,93
Oxacillin,0.9223647713661194,710,851
Penicillin,0.5860510468482971,724,412
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.6351476907730103,309,2185
Polymyxin B,0.5038661360740662,486,2305
Posaconazole,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN
Rifampicin,0.8105367422103882,4,764
Rifampicin_1mg-l,NaN,NaN,NaN
Strepomycin_high_level,NaN,NaN,NaN
Teicoplanin,NaN,NaN,NaN
Teicoplanin_GRD,NaN,NaN,NaN
Tetracycline,0.2948960065841675,23,46
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,NaN,NaN,NaN
Tobramycin,NaN,NaN,NaN
Vancomycin,0.8348375558853149,16,1108
Voriconazole,NaN,NaN,NaN
micro,0.651076078414917,,
macro,0.48669812050850497,,
